stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,4,0
 24-34,1.64,0.82,3.28,0,0,0.82,0,0,0,0,0,0,17.24,0,0,0,0,2.46,0,0,6.57,0
 36-46,0.81,0,6.45,0,0.81,0,0,0,0,0,0.81,0.81,39.48,0,0.81,0,0,4.03,0,0,8.06,0
 48-58,0,0,5.74,0,0,3.44,0,0,0,0,4.59,0,39.02,0,0,0,0,1.15,0.57,0,5.74,0
 60-70,0,0,12.76,0,0,3.93,0,0,0,0,2.94,0.98,73.61,0.98,0,0,0,1.96,0,0,10.8,0
 72-82,0,0,5.89,0,0,0.98,0,0,0,0,5.89,0.98,48.1,0.98,0,0,0,1.96,0,0,2.94,0.98
 84-94,1.06,0,6.37,0,1.06,2.12,0,1.06,1.06,1.06,3.19,0,24.43,1.06,0,0,0,5.31,2.12,0,6.37,0
 96-106,3.28,0,6.56,0,0,2.19,0,0,1.09,0,0,0,13.11,1.09,0,0,0,1.09,0,0,3.28,1.09
108-118,0.77,0.77,2.3,0,0,3.06,0.77,0,0.77,0,3.83,0,13.79,0,0,0,0,5.36,0,0,0.77,0
120,3.92,0,1.96,1.96,0,1.96,0,0,1.96,0,3.92,0,17.64,0,0,0,1.96,19.6,0,0,0,0
