stage,endoderm,epidermis,eye,immune,mesenchyme,mural.cell,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,10.51,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,3.44,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,4.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,11.78,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,15.93,1.06,1.06,0,0,0,0,1.06,0
 96-106,0,1.09,1.09,1.09,12.02,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,9.19,0,0.77,0,0,0,0,1.53,0
120,1.96,0,0,0,17.64,0,0,0,0,0,0,3.92,0
