stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,551.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,15.77,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,168.24,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,10,3,3,0,1,0,0,0,0,0,0,1,0,11,0,0,3,53,1,0,0,2,1,12,0,5,20,0,0,0,0,0
 24-34,0,0,0,3.28,0,8.21,1.64,4.1,0,0,0,1.64,0,0,0,0,7.39,0,0,3.28,107.53,0,0,2.46,0,1.64,0,0,0.82,18.06,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,12.09,0,3.22,0,0,0,0,0,0.81,0,0,6.45,0,0,0.81,58.81,0,0.81,0.81,0,0,0,0,0,16.92,0,0,0,0,0
 48-58,0.57,0,0,0.57,0,24.67,0.57,5.16,0.57,0,0,0,0,0,0,0,10.33,0,0,1.15,33.85,0,0.57,0,0,0.57,0,0,0,12.05,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,22.58,0,4.91,0,0,0,0,0,0,0,0,17.67,0,0.98,1.96,38.28,0,0,0,0,1.96,0,0,0,7.85,0,0.98,0.98,0,0
 72-82,0,0,0,4.91,0,13.74,0,4.91,0,0,0,1.96,0,0,0,0,17.67,0,0.98,0,36.32,0,0.98,1.96,0,0,0,0,0,3.93,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,12.74,0,2.12,1.06,0,1.06,1.06,0,1.06,0,1.06,9.56,0,0,0,10.62,0,0,1.06,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,7.65,0,4.37,0,0,0,0,0,0,1.09,0,4.37,1.09,0,2.19,10.93,0,0,1.09,0,0,0,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0,3.06,0.77,0,0,0.77,0.77,0.77,0,0,4.6,0,0.77,0.77,12.26,0.77,0.77,3.06,0,1.53,0,0,0,0,0,0,0.77,0,0
120,0,0,0,3.92,0,5.88,0,5.88,0,0,0,1.96,0,0,3.92,0,7.84,0,0,0,37.24,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0,0,0
