stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,liver,mucous,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0.81,0,0
 48-58,1.15,0,0,0,0,0,0.57,0.57,0,0,0.57,1.72,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0.98,3.93,0,15.7,0,0.98,0
 72-82,0,0,0.98,0,1.96,0,0,0,0,0,0,8.83,0,8.83,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,28.68,1.06,20.18,0,0,0
 96-106,3.28,1.09,2.19,1.09,2.19,0,0,2.19,0,0,5.46,30.6,0,131.14,0,1.09,1.09
108-118,2.3,0.77,0.77,2.3,0,0.77,0,4.6,0.77,2.3,1.53,27.57,0,94.21,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,9.8,0,62.71,0,0,0
