stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,5,0,0,1,0,0,14,0,1,1,1,5,1,1,9,0
 24-34,0,0,0.82,0,0,0,5.75,0,0.82,0.82,0,0,13.95,0.82,0,0.82,0,0,0,0,7.39,0
 36-46,0,0,0,0,1.61,0,2.42,0,0,3.22,0,0,5.64,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,4.02,0,1.15,0.57,0,0.57,0,0,2.3,0,0,0,0,0,0,0,5.16,0
 60-70,0,0,0,0,3.93,0.98,1.96,0,0,0,0,0.98,0.98,0,0.98,0.98,0,0,0,0,6.87,0
 72-82,0,0,0,0,2.94,0,2.94,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,2.12,0,3.19,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,0,0,0,3.28,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
