stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,4,0,3,0,0,0,0,1,0,0,0,0,5,0,0,1,135,0,0,57,40,2,0,0,0,0,1,0,1,13,1,0,0,0,2
 24-34,0.82,0,0,0,14.78,0.82,0,5.75,0,0,4.1,0.82,1.64,0.82,20.52,0,0,26.27,0,0,6.57,376.77,0,0.82,53.36,65.67,0,0,0,0,1.64,0,0,0,9.03,6.57,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,0,0,3.22,0.81,0.81,33.03,0,1.61,0,17.72,0,0,39.48,0,0,0,532.55,0,3.22,58.81,45.92,0.81,1.61,0,1.61,0,0,0,0,0,4.03,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,0,12.05,4.59,0.57,39.59,0.57,0.57,0,13.2,0.57,0.57,61.4,0,0,0,622,0.57,1.72,62.54,41.89,0,0.57,0,1.15,0,0,0,0.57,0,6.31,0.57,0.57,0.57,0
 60-70,0,0,0,0,0,0.98,0,5.89,5.89,3.93,41.22,0.98,0,0,8.83,0,0,104.04,0,0.98,0,745.96,0,3.93,43.19,30.43,0,0,0.98,3.93,0,0,0,0,0,6.87,0,0,0,0.98
 72-82,0,0,0,0,2.94,0.98,0,28.47,1.96,0,43.19,4.91,0,0,4.91,0,0,110.93,0.98,0,0.98,796.13,0,1.96,38.28,29.45,0,0,0.98,3.93,1.96,0,0,0.98,0,5.89,2.94,0,4.91,0.98
 84-94,0,0,0,0,7.43,0,0,56.29,0,2.12,36.11,7.43,1.06,0,8.5,2.12,0,129.57,2.12,1.06,0,607.49,0,7.43,29.74,24.43,0,0,0,5.31,1.06,0,0,0,0,1.06,1.06,0,2.12,0
 96-106,0,0,0,0,3.28,1.09,0,36.06,0,2.19,31.69,2.19,1.09,0,7.65,1.09,0,139.88,0,1.09,0,584.67,0,3.28,18.58,38.25,1.09,0,1.09,5.46,1.09,0,1.09,0,0,0,1.09,2.19,2.19,0
108-118,0,0,0.77,0,0.77,0.77,0.77,13.79,0,1.53,21.45,2.3,0,0,3.83,0.77,0,185.36,0,0,0,448.09,0,1.53,9.19,18.38,0,0,0,6.13,3.83,0,0,0,0,0.77,0,0,3.06,0.77
120,0,0,0,0,1.96,3.92,0,7.84,0,1.96,15.68,3.92,0,0,7.84,0,0,109.75,0,1.96,0,335.12,0,3.92,9.8,21.56,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
