stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17,0,1,0,0,1,16,1,15,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0.82,0,0,7.39,0,0,0,0,0.82,13.13,1.64,30.37,0,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0,0,0.81,0,0,0.81,0,0.81,6.45,0,0,0,0,0,9.67,0,45.92,0,0,0
 48-58,0,0,0,0,0.57,0,1.15,0.57,0.57,0,0.57,0,0,1.72,0,4.59,13.2,0,0,0,0,0,8.61,0,35.58,0,0,0
 60-70,0,0,0,0,0,0,3.93,6.87,0,0,3.93,0,0,0.98,2.94,2.94,10.8,0,0,0,0.98,0,5.89,0,60.85,0,0.98,0
 72-82,0,1.96,0,0,0,0,7.85,2.94,0,0,0.98,0,0.98,3.93,0,4.91,20.61,0,0,0,0,0,5.89,0,53.99,0,0,0.98
 84-94,0,0,0,0,0,0,2.12,6.37,0,0,2.12,0,0,5.31,0,1.06,14.87,1.06,0,0,1.06,0,9.56,0,31.86,0,0,0
 96-106,0,0,0,1.09,0,0,3.28,8.74,0,0,0,0,1.09,2.19,0,2.19,9.84,0,0,0,1.09,0,21.86,0,20.76,1.09,0,1.09
108-118,0,0.77,0,0,0,0.77,0.77,7.66,0,0.77,0.77,0,0,0.77,0,3.06,9.96,0,0,0,0,0.77,13.79,0,9.19,0,0,0
120,0,0,0,1.96,0,0,1.96,1.96,0,0,3.92,0,0,1.96,0,1.96,17.64,0,0,0,1.96,0,13.72,0,5.88,0,0,0
