stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,54,7,18,0,2,0,0,0,1,83,0,0,0,0,0,0,0,0,3,0,0,4,34,0,0,0,1,0,1,2,1,257,13,54,0,6,0,0
 24-34,0,0,0,39.4,2.46,2.46,0,1.64,0,0,0.82,0,22.16,0,0,1.64,0,0,0.82,7.39,0,9.85,0,0,9.03,73.88,0.82,0,0,0,0,0.82,0,0,119.02,4.1,40.22,0,50.07,0,0
 36-46,0,0,0,4.03,4.03,0,0,5.64,0,0,3.22,0,12.09,0,0,0.81,0,0,0,15.31,0,17.72,0,0,4.83,155.49,0.81,0,0,0,0,0,0,0,37.06,0,61.23,0,34.64,0,0.81
 48-58,0,0,0,0.57,3.44,0,0,34.43,1.72,1.15,3.44,2.87,10.9,0,0.57,0,0.57,1.15,0,15.49,0,69.43,0.57,0,16.64,323.63,0.57,0,0.57,0,0,2.3,0,0,30.99,0,144.6,0,29.84,0,0.57
 60-70,0.98,0,0,0,1.96,0,1.96,34.35,14.72,0,1.96,3.93,21.59,0,0,0,0.98,0,0,26.5,0,111.89,0,0,24.54,282.68,0,0,0.98,0.98,0,2.94,0,0,23.56,0,131.52,0.98,33.37,0,2.94
 72-82,0,0,0.98,0.98,5.89,0.98,47.12,31.41,8.83,2.94,3.93,11.78,32.39,0,1.96,0,0,0.98,0,24.54,1.96,151.18,0,2.94,26.5,189.46,0,0,0,0,0,2.94,0,0,14.72,0,56.94,0,56.94,1.96,0.98
 84-94,0,0,3.19,3.19,8.5,0,104.08,50.98,12.74,0,0,7.43,70.09,0,0,1.06,1.06,0,0,60.54,0,86.03,0,0,26.55,147.62,0,2.12,1.06,0,0,1.06,0,0,21.24,0,26.55,1.06,55.23,1.06,1.06
 96-106,0,0,1.09,2.19,15.3,7.65,156.28,14.21,15.3,1.09,1.09,2.19,39.34,0,1.09,4.37,1.09,0,0,64.48,0,68.85,0,0,15.3,98.36,1.09,0,0,1.09,1.09,6.56,0,1.09,32.79,0,8.74,0,68.85,2.19,1.09
108-118,0,0,0,3.83,0.77,2.3,328.6,15.32,13.79,0,2.3,1.53,35.23,0,0,0.77,1.53,1.53,0.77,97.28,1.53,75.06,0,0,9.96,129.45,0.77,0,0.77,0,0.77,4.6,0,2.3,26.81,0,5.36,0,59.75,0,0
120,0,0,0,0,5.88,5.88,97.99,13.72,15.68,0,1.96,9.8,45.08,1.96,0,3.92,0,0,0,60.75,0,68.59,0,0,13.72,148.94,0,1.96,0,0,0,1.96,1.96,1.96,15.68,0,5.88,0,72.51,0,0
