stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,lateral.line,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,7.89,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0
 14-21,0,0,0,0,5,0,0,0,0,1,0,0,3,15
 24-34,0,0,0,0,11.49,0,0,0,0,4.93,0,0,6.57,16.42
 36-46,0,0,2.42,0,6.45,0,0,0.81,0.81,8.86,0.81,0,3.22,12.09
 48-58,0,0,2.3,0,5.74,0.57,0,0,0,10.9,0.57,0,0,11.48
 60-70,0,0,3.93,0,4.91,0,0.98,0,0,16.69,0,0,0,10.8
 72-82,0,0,2.94,0,10.8,0,0,0.98,0,7.85,0.98,0,1.96,3.93
 84-94,0,0,2.12,0,4.25,0,0,1.06,0,10.62,0,0,2.12,2.12
 96-106,0,0,0,0,3.28,0,0,0,0,2.19,0,0,1.09,4.37
108-118,0,0,2.3,0,3.06,0,0,0,0,4.6,0.77,0,1.53,2.3
120,0,1.96,0,1.96,1.96,0,0,0,0,3.92,0,0,3.92,1.96
