stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,62,1,0,2,2,0,0,6,0,14,19,0,0,0,0,0
 24-34,0,0,0,0,13.13,0.82,0,13.13,0,2.46,0,5.75,0.82,0,1.64,0,0,0,0.82,0.82,0.82,18.88,0,13.13,123.13,1.64,0.82,3.28,0,0,2.46,0,0.82,0.82,44.33,0,0,6.57,0,0
 36-46,0,0,0,0,3.22,0,0,33.03,0,0.81,0.81,14.5,0,0,0.81,0,0,0.81,0,0,0.81,28.2,0.81,7.25,129.71,1.61,3.22,0,0,0,1.61,0,0,0,54.79,0,0.81,2.42,0,0.81
 48-58,0,0,0.57,0,2.3,0,0,29.84,0,0,2.3,13.2,0,0.57,0,0,0.57,0,1.15,0,0,32.13,1.15,6.89,92.96,0,1.72,0.57,0,2.3,1.15,0,0.57,0,35.58,0,0,5.74,0,1.72
 60-70,0,0,0,0,1.96,0,0,90.3,0,1.96,2.94,30.43,0,0,0,1.96,0,0.98,1.96,0,0,54.97,3.93,2.94,120.73,0,0,2.94,0,0,3.93,0,0,0,37.3,0,1.96,2.94,0,1.96
 72-82,0,0,0,0.98,5.89,0.98,0,109.95,0.98,0,0.98,27.49,0,0,0.98,1.96,1.96,2.94,1.96,0,0,80.5,1.96,11.78,137.43,0,3.93,1.96,0,1.96,3.93,0,0,0,17.67,0,2.94,10.8,2.94,0.98
 84-94,0,0,0,0,7.43,2.12,0,74.34,0,5.31,1.06,24.43,1.06,0,1.06,2.12,0,2.12,1.06,2.12,2.12,57.35,6.37,2.12,74.34,0,2.12,3.19,0,0,7.43,0,1.06,0,9.56,1.06,1.06,8.5,1.06,1.06
 96-106,0,0,0,0,17.49,4.37,0,60.11,0,4.37,1.09,26.23,0,0,2.19,0,0,3.28,1.09,0,0,52.46,2.19,6.56,72.13,1.09,1.09,5.46,0,1.09,8.74,0,0,0,7.65,2.19,0,8.74,8.74,0
108-118,0,0,2.3,0.77,15.32,2.3,0.77,51.32,0,3.06,3.83,23.74,2.3,0,0.77,2.3,0.77,1.53,2.3,0.77,0,67.4,1.53,6.89,93.45,1.53,0,3.83,0,0.77,6.89,0,0,0,2.3,2.3,0,6.13,2.3,2.3
120,1.96,0,0,0,17.64,3.92,1.96,43.12,0,0,1.96,29.4,9.8,0,1.96,0,0,1.96,1.96,1.96,0,43.12,0,5.88,99.95,1.96,1.96,0,0,0,7.84,0,0,0,0,0,0,7.84,3.92,1.96
