stage,blastomeres,epidermis,eye,glial,heart,immune,mesenchyme,neural,pgc,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,2.63,0
 10-12,0,0,0,0,0,0,0,9.44,0,0
 14-21,0,0,0,0,0,0,0,4,0,2
 24-34,0,0.82,0.82,0,0,0,0.82,9.03,0,0
 36-46,0,0,0.81,0.81,0.81,0,0.81,3.22,0,1.61
 48-58,0,0.57,1.15,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,2.94,0,0,0,0.98,1.96,0,0
 84-94,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,1.09,0,0,1.09,1.09,0,0,0,1.09
108-118,0,0,0.77,0,0,1.53,0,0.77,0,0
120,0,0,0,0,0,5.88,0,1.96,0,0
