stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,2,0,3,0,3
 24-34,0,0,0,0.82,0,10.67,0,3.28
 36-46,0,0,0,0,0,10.47,0,1.61
 48-58,0,0,1.15,1.15,0.57,8.03,0,0.57
 60-70,0,0.98,0.98,2.94,0,10.8,0,0
 72-82,0,0,3.93,4.91,0,7.85,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,1.09,0,0
108-118,0,0,1.53,1.53,0,3.83,0,0
120,0,0,3.92,0,0,1.96,0,0
