stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,49.95,0,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,1,0,2,1,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,8,0,0,0
 24-34,0,0,0,0,1.64,0,3.28,0,0.82,0,0,0,0,0.82,6.57,0,2.46,27.91,0,1.64,0,0,0.82,0,0,7.39,0,0.82,0
 36-46,0,0,0,0,0.81,0,7.25,0.81,3.22,0,0,0,0.81,0,4.03,0,1.61,25.78,0,0.81,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,1.15,0,0,0,0,0,2.87,0,0.57,13.2,0,0,0,0,0.57,0,0,1.72,0,0,0
 60-70,0,0,0,0,0.98,0,5.89,0,0.98,0,0,0,0,0,3.93,0.98,0,4.91,0,0,0,0,0.98,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,3.93,0,2.94,0,0,0,0,0,4.91,0,0.98,7.85,0.98,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,1.06,0,0,4.25,0,2.12,4.25,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,2.19,0,3.28,0,0,0,0,0,1.09,0,0,5.46,0,0,1.09,0,3.28,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0,1.53,0,0.77,0,0,0,0.77,0,1.53,0,1.53,3.83,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
