stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,1,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,1,0,0,0,0,0
 24-34,0,0,22.98,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,9.03,0.82,4.1,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0.81,17.72,0,0,13.7,0.81,0.81,0,0,0,0,0,0,0,0,0.81,1.61,0,0.81,1.61,9.67,0.81,3.22,0,0,1.61,0,0,3.22,0,0,0.81,0
 48-58,0,0,10.33,0,0,58.53,1.15,1.72,0,2.3,0,0,0,0,0,0,0.57,1.72,1.72,0.57,0.57,22.38,0,1.72,1.15,0,1.15,0,0,5.16,0,0,0,0
 60-70,0,0.98,20.61,0,0,418.13,0,2.94,0.98,0,0,0,0,0,0,0,0,3.93,0,0,0,12.76,0,2.94,0.98,0,1.96,0,0,1.96,0,0,0,0
 72-82,0,0.98,26.5,0.98,0.98,657.71,0,2.94,0.98,2.94,0,0,0.98,0.98,0,0,0.98,3.93,2.94,0,0,25.52,0,7.85,0.98,0,1.96,0,0,0,0.98,0,0,0.98
 84-94,0,0,81.78,1.06,0,588.37,0,5.31,1.06,0,0,0,0,0,0,0,1.06,2.12,0,0,0,12.74,0,3.19,0,0,2.12,0,0,1.06,0,2.12,0,0
 96-106,0,0,56.83,0,4.37,426.21,0,5.46,0,4.37,2.19,0,0,2.19,1.09,1.09,0,0,0,0,0,17.49,0,6.56,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0.77,49.02,0,3.83,295.66,0,5.36,0.77,2.3,0,0,0,2.3,0.77,1.53,0,2.3,0.77,0,0,21.45,0,4.6,0.77,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,29.4,0,1.96,243.01,0,7.84,0,1.96,0,0,0,1.96,0,0,0,3.92,1.96,0,0,7.84,0,3.92,0,0,0,0,0,1.96,0,0,0,0
