stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,heart,mesenchyme,muscle,neural,olfactory,spinal.cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,3.15,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,4,0,1
 24-34,0.82,0,1.64,0,0,0,0,0.82,27.09,0,5.75
 36-46,0,0,4.83,0,0.81,0.81,0,0,45.12,0,6.45
 48-58,0,0.57,8.03,0,1.15,0,0,0,60.25,0,3.44
 60-70,0,0,3.93,0,0.98,0,0.98,0,118.76,0,10.8
 72-82,0.98,0,5.89,0,0,0,0.98,0,142.34,1.96,9.82
 84-94,0,0,8.5,1.06,0,0,1.06,0,66.91,2.12,1.06
 96-106,0,0,6.56,0,0,0,2.19,0,46.99,0,3.28
108-118,0,0.77,7.66,0.77,0.77,0,2.3,0,61.28,0,0.77
120,0,1.96,5.88,0,0,0,3.92,0,72.51,0,9.8
