stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,22.03,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6,0,0,2,1,0,0,0,0,0,0,36,65,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0.82,0,0,0,0.82,13.13,0,7.39,0.82,1.64,0,4.1,12.31,0,0,0,0,0.82,9.03,34.48,63.21,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,5.64,0,0,0,0,0,7.25,0,1.61,2.42,0.81,0,2.42,9.67,0,0,0,0,0,0.81,23.36,1.61,3.22,0,0,0,0
 48-58,0,0,0,0.57,0,0,2.87,14.92,0,1.15,0,2.3,0,2.3,0,0,2.3,0,0,3.44,10.9,0,0,0.57,0,0.57,2.87,35.58,0,2.3,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,1.96,18.65,0,0,0,0,0,3.93,0,0,6.87,0,0,2.94,2.94,0,0,0,0,0,4.91,23.56,0,2.94,0,0,0,0
 72-82,0,0,0,0,2.94,0,6.87,6.87,0,1.96,0,0,0,6.87,0,0,0.98,0,0.98,5.89,4.91,0,0,0,0,0,3.93,11.78,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,5.31,8.5,0,3.19,0,0,0,14.87,0,0,7.43,0,0,7.43,7.43,0,1.06,0,0,2.12,3.19,28.68,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,4.37,0,6.56,19.67,0,1.09,1.09,0,0,10.93,0,0,6.56,0,0,0,5.46,0,3.28,0,1.09,3.28,2.19,16.39,0,0,2.19,0,0,1.09
108-118,0,0,0,1.53,0,0,3.06,21.45,0,0,0,0,0,9.96,0,0.77,2.3,0.77,0,8.43,6.89,0,0.77,0,0,0.77,6.89,8.43,0,0,0.77,0.77,0,0
120,0,0,0,1.96,0,1.96,3.92,9.8,0,0,0,0,0,7.84,1.96,0,1.96,0,0,5.88,7.84,0,0,0,0,1.96,5.88,9.8,0,0,0,0,0,0
