stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,101,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,3,9,0,1,0,0,0,0,0,6,0,0,0,0,1
 24-34,0,0,3.28,123.95,0,0,3.28,0,1.64,0,8.21,0,4.93,0.82,0,0,3.28,0,0,27.09,0.82,0,6.57,42.68,0,1.64,5.75,0.82,2.46,0.82,0,16.42,0,0,4.1,0,8.21
 36-46,0,0,0.81,69.29,0.81,0,6.45,0,8.06,0,33.84,0,3.22,0,0,0.81,0.81,0,0,73.32,0,3.22,10.47,90.23,0,4.03,10.47,0,0.81,0.81,0,12.89,0,0.81,4.03,0,19.34
 48-58,0,0,0,88.37,0.57,0,16.64,0,14.92,1.15,43.04,0,1.72,0,0,1.72,2.87,0,0,141.73,0.57,1.72,37.3,102.14,0,2.87,11.48,0.57,1.72,0,0,13.77,0,0.57,3.44,0,9.75
 60-70,0,0,0,122.69,0,0,47.11,1.96,20.61,1.96,70.67,0,0.98,0.98,2.94,20.61,8.83,0,0.98,268.94,0,3.93,20.61,190.42,0,3.93,14.72,0.98,0.98,0,0,19.63,0,2.94,6.87,0.98,10.8
 72-82,0,0,2.94,196.33,0,0,116.82,0,33.38,3.93,154.12,1.96,5.89,0.98,2.94,24.54,12.76,0,0.98,486.9,2.94,5.89,36.32,264.07,0.98,6.87,14.72,0.98,2.94,0,0,16.69,0,12.76,14.72,8.83,11.78
 84-94,0,0,2.12,328.17,0,0,112.58,1.06,50.98,2.12,89.21,1.06,3.19,1.06,9.56,8.5,8.5,1.06,1.06,321.8,3.19,10.62,26.55,112.58,0,5.31,14.87,2.12,9.56,0,0,4.25,0,5.31,16.99,10.62,24.43
 96-106,0,0,2.19,304.9,0,1.09,110.38,4.37,43.71,2.19,93.98,1.09,10.93,2.19,9.84,3.28,6.56,0,0,304.9,5.46,13.11,30.6,137.7,0,14.21,20.76,1.09,3.28,0,1.09,12.02,0,7.65,10.93,10.93,13.11
108-118,0,0,0.77,209.87,0.77,0.77,90.38,1.53,42.13,1.53,97.28,0.77,0,0,8.43,3.83,6.13,0.77,0,276.51,3.83,9.96,22.21,135.58,0,7.66,18.38,2.3,1.53,0,0,4.6,0.77,3.83,8.43,9.19,15.32
120,0,0,0,178.34,3.92,0,47.03,0,41.16,0,78.39,1.96,3.92,1.96,13.72,1.96,3.92,0,0,184.22,3.92,5.88,9.8,133.27,0,7.84,11.76,0,5.88,0,0,1.96,0,3.92,7.84,9.8,5.88
