stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,18.4,0,0,0,0,0,0,0,0,0,120.92,0,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,12.59,0,0,0,3.15,0,0,0,0,0,154.2,3.15,0,0,18.88,0,3.15,0,0,0,0,0
 14-21,0,0,1,10,1,0,0,0,0,0,0,0,1,0,6,0,1,0,1,0,0,2,1,2,0,0
 24-34,0,0,0,4.1,2.46,0,0,0,0,0,0,0,0,0,10.67,0,0,0.82,0,0,0,0.82,0.82,4.1,0,0
 36-46,0,0,0,1.61,1.61,0,0,0,0,0,0,0,0,0,29.81,0,0.81,0.81,0,0.81,0,0,0,7.25,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,0,1.15,0,19.51,0,0,1.15,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,2.94,0,0.98,0,0,0,0,0,0.98,1.96,49.08,0,0,0.98,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,1.96,5.89,0.98,0,0,0,0,0.98,0,10.8,0.98,33.38,0,0,1.96,0,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,2.12,5.31,0,0,0,0,0,0,1.06,1.06,0,13.81,0,0,0,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,6.56,0,0,0,0,1.09,2.19,0,2.19,0,5.46,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0.77,0.77,0,0,0.77,0,3.83,1.53,7.66,0.77,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,7.84,1.96,0,3.92,0,0,0,9.8,0,3.92,0,13.72,0,0,0,0,0,0,0,0,0,0,1.96
