stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,73,0,0,35,15,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,0,0,0.82,0,0,0.82,142.83,0,0,4.1,37.76,0,0.82,0,0,6.57,0,0,0,0
 36-46,0,1.61,0,0,8.86,2.42,0,0.81,0,0,0,90.23,0,2.42,4.83,22.56,0,0,0,0,3.22,0,0,0,0
 48-58,0,0.57,0,2.3,16.64,0,4.59,1.15,0,0,0,133.12,0.57,4.02,6.31,13.2,0,0.57,0.57,0,2.87,0,0.57,0,0
 60-70,0,2.94,0,0,18.65,0,2.94,2.94,0.98,0,0,187.47,0,4.91,4.91,12.76,0,1.96,0,0,0,0,5.89,2.94,0
 72-82,0,1.96,0,11.78,17.67,8.83,1.96,0,0,0,0,160.01,0,13.74,3.93,12.76,0,6.87,0,0,0,0,5.89,0.98,1.96
 84-94,0,2.12,0,9.56,13.81,4.25,3.19,0,0,2.12,1.06,83.9,0,5.31,1.06,5.31,1.06,2.12,1.06,0,0,1.06,4.25,1.06,2.12
 96-106,0,3.28,0,5.46,9.84,13.11,0,0,0,0,0,75.41,0,13.11,3.28,3.28,0,12.02,0,0,0,0,1.09,3.28,1.09
108-118,0,2.3,0,2.3,6.13,7.66,0,0,0,0,0,67.4,0,6.89,1.53,3.83,0,10.72,0,0.77,0,0,3.83,0.77,0
120,0,1.96,0,1.96,3.92,15.68,0,0,0,0,0,56.83,0,5.88,5.88,9.8,0,3.92,0,0,0,0,0,0,0
