stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,1,1,0,0,0,0,0
 24-34,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,25.45,0,0,0,13.95,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,0,44.31,0,1.61,0,8.86,0,0,0,0,0,0,0.81,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,1.15,0.57,0,0.57,0.57,0,0,0,0,113.61,0,2.3,0.57,18.36,0,0,0,0,0,0,0,0,3.44,0,1.15,0,0,0
 60-70,0,0.98,0.98,0,10.8,0,0,1.96,0.98,0,0.98,0,0,0,0,0,322.92,0,10.8,1.96,7.85,0,0,0,0,0,0,0,0,6.87,0,10.8,0,20.61,0
 72-82,0,3.93,1.96,0,36.32,0,1.96,4.91,7.85,0,4.91,0,0,0,0,0,495.74,0,15.71,2.94,27.49,0,1.96,2.94,0,0,0,0,0,1.96,0,36.32,1.96,70.68,1.96
 84-94,0,5.31,2.12,0,48.85,0,2.12,2.12,7.43,1.06,3.19,2.12,0,0,1.06,0,402.51,0,18.05,2.12,19.12,0,1.06,2.12,0,4.25,0,0,0,3.19,0,49.92,2.12,98.77,0
 96-106,1.09,6.56,2.19,1.09,38.25,1.09,1.09,6.56,5.46,2.19,5.46,0,2.19,2.19,0,1.09,304.9,0,9.84,2.19,24.04,0,0,1.09,2.19,6.56,0,0,0,0,1.09,48.09,1.09,121.31,1.09
108-118,0,0.77,3.06,0.77,19.15,0,1.53,0,6.89,2.3,0.77,0,0.77,0,0,1.53,337.02,0,10.72,1.53,20.68,0.77,0,0.77,1.53,2.3,0,0.77,0,0,0,43.66,1.53,75.83,0
120,0,0,0,0,15.68,0,0,3.92,0,1.96,0,1.96,0,0,0,1.96,284.17,1.96,5.88,3.92,29.4,0,0,0,0,0,0,0,0,0,1.96,35.28,0,117.59,0
