stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0,0,44.33,0,0,0,0,0,0,0,0
 36-46,0,0,0,7.25,0.81,0,0,20.95,0,0,0,0,0,0,68.48,0,0,0,0,0,0,4.03,0
 48-58,0,1.15,0,17.79,0,0.57,0,39.02,0,0,0,0.57,0,0,123.37,0,0,0,0,0.57,0,5.16,0
 60-70,0,0,0,18.65,0,0,0,38.28,0,0.98,0,0,0,0.98,142.32,0.98,0,0,0,0,0.98,22.58,0
 72-82,0,0,0,17.67,0,0,0.98,45.16,0,0,0,0.98,0.98,0,146.27,0,0,0,0,0.98,0,5.89,0.98
 84-94,0,2.12,0,16.99,0,0,0,29.74,0,0,0,3.19,0,0,64.78,0,1.06,0,0,0,0,4.25,0
 96-106,0,0,3.28,5.46,0,0,1.09,20.76,0,0,0,1.09,0,0,39.34,0,0,0,0,1.09,0,1.09,0
108-118,0,0.77,0.77,10.72,0,0,0,26.04,0.77,0,0,3.06,0,0,68.17,0,0.77,0.77,0,0,0,1.53,0
120,0,0,0,11.76,0,1.96,0,48.99,0,0,3.92,3.92,0,0,146.98,0,1.96,0,0,0,0,3.92,0
