stage,blastomeres,epidermis,eye,fin.epithelia,gut,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,5.26,2.63,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,1.64,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,1.61,0.81,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0,0.98
 84-94,0,2.12,0,3.19,0,0,0,1.06,0,3.19,0,0,0
 96-106,0,2.19,0,3.28,1.09,0,0,0,0,1.09,0,0,0
108-118,0,5.36,0,3.06,0,0,0,0,0,0,0,0,0.77
120,0,5.88,0,0,0,0,0,0,0,1.96,0,0,1.96
