stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,52.71,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,152.47,5.26,0,0,60.46,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,3,13,5,11,0,0,4,0,1,0,0,0,2,20,0,14,122,5,2,3,5,0,25,1,44,55,2,0
 24-34,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0.82,0,3.28,0,1.64,20.52,0,0,0,0,0.82,0,0,0,9.85,0.82,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,1.61,0,0,0,0,0,0,3.22,0,1.61,27.39,1.61,0,0,0,0,0,0,0,12.89,1.61,0
 48-58,0,0,0,0,0.57,0,5.16,0,0,2.87,0,0,0,0.57,0,0,2.87,0,1.15,21.8,0,0,0,0,0.57,0,0,0,4.02,0,0
 60-70,0,0,0,0,0,0,7.85,0,0.98,0,0,0,0.98,0,0,0,5.89,1.96,0,26.5,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,5.89,0,0.98,2.94,0,0,0,0,0.98,0,7.85,0,0.98,24.54,0,0,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,0,0,1.06,0,7.43,0,0,0,0,0,0,0,0,0,2.12,0,0,13.81,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,5.46,0,1.09,7.65,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,3.06,0.77,0,1.53,0,0,0.77,0,0,0,2.3,0,0.77,10.72,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,9.8,0,0,0,0,3.92,0,0,0,0,0,0
