stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,89,3,0,0,2,0,0,0,0,0,1,0,0,1,18,1,0,8,6,0,0,2,0,1,2,0,0,1,2,0,0,0,0
 24-34,0,0,0.82,1.64,49.25,1.64,3.28,0,18.06,0.82,0,2.46,1.64,0,0,0,0,2.46,58.28,0.82,0.82,18.88,37.76,0,10.67,0.82,0,2.46,0,0.82,0,3.28,10.67,0,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,0.81,1.61,0,1.61,0,0,0,0,0,0,0,14.5,0,0,0,70.9,0,22.56,2.42,0,0.81,0,0,0,0,25.78,0,0,0,0
 48-58,0,0,0,0,1.15,0,10.9,0,4.02,1.15,1.72,0,0,0,0,0,0,0,4.59,0,0.57,0,121.07,0,15.49,2.3,0,0,0,0,0.57,0,27.54,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,25.52,1.96,3.93,0.98,7.85,0.98,0,0,0,0,0,0,13.74,0,1.96,0,310.16,0,27.48,3.93,0,0.98,0,0,0,0,46.13,0,0.98,0,0
 72-82,0,0,0.98,0,0,2.94,78.53,0.98,0,0.98,17.67,0,0,0,0,0,0.98,0.98,15.71,0,0.98,0.98,437.82,0,39.27,3.93,0,1.96,0,0,0,0,34.36,0.98,0,0,0
 84-94,0,0,0,0,2.12,0,54.16,0,2.12,1.06,13.81,0,0,1.06,0,0,0,0,12.74,0,1.06,1.06,280.38,0,21.24,4.25,0,2.12,0,0,0,0,24.43,0,0,2.12,0
 96-106,0,0,0,0,3.28,1.09,69.94,1.09,1.09,0,15.3,0,1.09,0,1.09,1.09,0,0,13.11,0,1.09,1.09,239.33,0,42.62,3.28,0,3.28,0,0,0,0,17.49,1.09,1.09,2.19,0
108-118,0,0,0.77,0,0.77,0,57.45,0,0.77,0,14.55,0.77,0,0,0,0.77,0,0.77,6.13,0,2.3,0,255.07,0,17.62,7.66,0,0.77,0,0.77,0,0,12.26,0.77,1.53,0,0
120,0,0,1.96,0,1.96,0,50.95,1.96,1.96,1.96,19.6,0,0,3.92,0,0,0,1.96,9.8,0,0,0,284.17,0,11.76,1.96,0,0,0,0,0,0,15.68,0,0,1.96,1.96
