stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,4,0
 24-34,0,0.82,0.82,0,0,0.82,0,0,0,0,0.82,0,4.1,0,3.28,13.13,0,0,0,0,0,4.1,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,5.64,0.81,0,50.76,0,0,0,0,0,7.25,0
 48-58,0,0,0,0.57,2.87,1.15,0,0,0.57,0,0.57,0.57,6.89,0,0.57,108.45,1.15,3.44,0,0,0,13.2,0
 60-70,0,2.94,0,0,8.83,0.98,0,0,0,0,0,0.98,2.94,0,0,259.12,0,2.94,0,0,0,30.43,0
 72-82,0,4.91,0,0,14.72,2.94,1.96,0,0,0,0,7.85,1.96,0,0.98,196.33,0,0,0.98,0,0,30.43,0
 84-94,0,3.19,0,1.06,10.62,3.19,0,0,0,0,0,9.56,4.25,0,0,84.96,0,1.06,0,0,0,20.18,0
 96-106,0,2.19,0,1.09,18.58,5.46,0,0,0,0,0,14.21,0,0,0,84.15,0,3.28,0,0,0,14.21,1.09
108-118,0,0.77,0,1.53,13.02,3.06,0,0,0.77,0.77,0,8.43,2.3,0,0.77,102.64,0,1.53,0,0.77,0,7.66,0
120,0,0,0,0,17.64,1.96,0,1.96,0,0,1.96,1.96,5.88,0,1.96,109.75,0,1.96,0,0,0,7.84,0
