stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,3017.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0,0,0,0
  5-6,55.17,4217.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,12.26,153.24,0,0,0,0,0,0,0,0,0
  7-9,26.29,115.66,76.23,0,0,0,39.43,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,6285.25,13.14,0,0,352.25,21.03,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,40.91,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2929.83,0,0,0,56.65,6.29,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,923,6,0,12,0,0,0,0,2,5,0,0,5,0,1,0,0,13,0,0,2,65,1,0,25,1,18,1,4,0,2,13,0,0,0,1
 24-34,0,0,0,316.03,0,0,22.98,0,1.64,0,0.82,0.82,0,0,0,0,0,7.39,0,0,6.57,1.64,0,1.64,34.48,0,2.46,0.82,0,37.76,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,0.81,60.43,0,0,9.67,0,0.81,0.81,0,0,0,0.81,0,0,0,0.81,0,0.81,4.03,0.81,0,2.42,29.81,0,2.42,1.61,0,14.5,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,51.64,0,0,12.05,0,0,0,0.57,0,0,0,0,0,0,1.15,0,0,4.02,0.57,0.57,0.57,20.66,0,1.72,5.74,0,12.05,0.57,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,29.45,0,0,14.72,0,0,0,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,9.82,0,0.98,1.96,0,5.89,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,19.63,0,0,11.78,0,0,0,7.85,0,0,0,0,0.98,0,0.98,0,0,1.96,0.98,0,4.91,7.85,0,2.94,5.89,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,26.55,0,0,8.5,0,0,0,2.12,1.06,0,0,0,1.06,1.06,0,0,0,2.12,0,0,1.06,10.62,0,4.25,6.37,0,11.68,0,0,1.06,0,0,4.25,0,1.06,0
 96-106,0,0,0,20.76,0,1.09,6.56,0,1.09,0,10.93,0,0,0,1.09,0,0,0,1.09,0,2.19,1.09,0,1.09,2.19,0,9.84,14.21,0,7.65,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,11.49,0,0,6.89,0.77,1.53,0.77,3.83,0,0,0,0,0,0,0,0.77,0,1.53,0,0,3.83,9.19,0,2.3,7.66,0,6.89,0,0,0,0,1.53,0,0,0,0
120,0,0,0,13.72,0,0,9.8,0,3.92,0,3.92,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,11.76,0,3.92,3.92,0,3.92,0,0,0,0,0,0,0,0,0
