stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0
 14-21,3,1,1,0,1,0,0,8,6,2,0,0,1,0,1,1,2,0,0
 24-34,0.82,0,0,0,2.46,0,0.82,0,0.82,4.93,0,0,0,0,0,0,3.28,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,4.03,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,0,0,0.98,0,5.89,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0,0
108-118,0,0,1.53,0,0.77,0,0,0,0,1.53,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0
