stage,endoderm,epidermis,eye,gut,mesenchyme,muscle,neural,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,0,0,1,1,7,0,2,0
 24-34,0,0,0,0.82,0.82,0,2.46,1.64,0,1.64,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,2.3,0
 60-70,0,0.98,0,0,0,0,3.93,0.98,0,0.98,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,5.31,4.25,1.06,0,0
 96-106,0,0,4.37,0,0,0,4.37,2.19,0,0,0
108-118,0.77,0,2.3,0,0.77,0,4.6,0,0,0,0.77
120,0,0,0,0,0,0,5.88,5.88,0,0,0
