stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,329.45,5482.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,281.96,7079.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,239.21,302.3,0,2.63,980.51,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,7410.34,162.98,0,0,1030.46,0,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,248.61,210.85,0,18.88,405.96,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,6872.98,47.2,0,0,745.83,0,0,6.29,6.29,72.38,0,15.73,18.88,0,0,0,0,0
 14-21,1,0,12,162,17,37,0,2,0,122,1,2,4,0,1,0,0,0,2,61,0,0,101,5244,10,4,63,13,0,2,0,41,11,3,121,1674,0,0,4,0,0
 24-34,0.82,0,12.31,90.29,4.1,89.47,0,13.95,0.82,190.44,1.64,1.64,3.28,0.82,0.82,1.64,9.85,5.75,7.39,155.96,0.82,0.82,108.35,6376.41,3.28,13.95,56.64,0,0,10.67,0,3.28,9.03,1.64,25.45,1732.01,0,0,21.34,0,6.57
 36-46,0,0,0,17.72,1.61,269.9,0.81,1.61,4.83,303.74,0,0,3.22,0.81,0,0.81,2.42,0,6.45,120.04,0.81,1.61,35.45,3236.37,0.81,2.42,27.39,0,0,7.25,0,0.81,0.81,0,0.81,1220.59,0,0.81,4.83,0,0
 48-58,0,0,0,14.92,1.15,401.09,1.15,1.72,1.15,529.05,1.15,0.57,2.87,1.15,0,1.72,4.59,0.57,12.05,133.12,0,2.87,41.31,1098.84,0.57,0.57,24.67,0,0.57,2.3,0,0,1.15,0,0,708.08,0,0.57,4.59,0,5.16
 60-70,0,0,0,6.87,0.98,198.27,0.98,1.96,0,372,1.96,0,0.98,0,0,0,2.94,0,4.91,81.47,0,0,17.67,259.12,0,1.96,14.72,0,0,3.93,0,0,0,0,0,111.89,0,1.96,0,0,0.98
 72-82,0,0,0,5.89,0,127.62,0.98,0,0.98,484.94,0.98,0,2.94,0.98,0.98,1.96,7.85,0,6.87,90.31,0,0,28.47,212.04,0,4.91,28.47,0,0.98,1.96,0,0,0.98,0,0,31.41,0.98,0,0.98,0.98,1.96
 84-94,0,0,0,6.37,0,87.09,0,1.06,2.12,293.12,4.25,0,0,4.25,0,1.06,5.31,0,9.56,69.03,1.06,2.12,22.3,146.56,1.06,6.37,19.12,0,2.12,2.12,0,0,2.12,0,0,31.86,0,8.5,2.12,1.06,0
 96-106,0,0,0,15.3,1.09,99.45,1.09,1.09,4.37,319.11,1.09,0,3.28,2.19,0,1.09,5.46,1.09,4.37,49.18,0,2.19,22.95,159.56,0,2.19,28.41,0,5.46,5.46,0,0,2.19,0,0,15.3,0,4.37,2.19,1.09,0
108-118,0,0,0,6.89,0.77,59.75,2.3,0,0.77,255.83,0.77,0,0.77,2.3,1.53,1.53,1.53,0.77,6.13,47.49,0,2.3,20.68,188.43,1.53,6.89,26.81,0,4.6,4.6,0,0,0,0,0,6.13,0,1.53,2.3,0,0
120,1.96,0,0,5.88,3.92,78.39,3.92,0,1.96,233.21,0,0,0,0,0,1.96,3.92,0,5.88,13.72,0,0,35.28,199.9,0,5.88,13.72,0,0,9.8,0,0,0,0,0,5.88,0,0,3.92,0,0
