stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,7,0,0,0,1,0,0,0,3,0,1,1,1,1,0,0,4,1,0,0,0,5,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0.82,0.82,0,4.1,0,0
 36-46,0,0,0,0,0.81,0.81,0,0.81,0,0,0,1.61,0,0,0.81,0,0,0,0.81,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0,0.57,0.57,0.57,0.57,0,0,0,0,0,0,0,0.57,0,1.15,0,0
 60-70,0,0,0,0,0,0,0.98,1.96,0,0,0,2.94,0,0,0,0,0,0.98,0,0,0,0,0,0.98,4.91,0.98,0.98
 72-82,0,0,0.98,0,1.96,1.96,0.98,2.94,1.96,0,0.98,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0.98,3.93,1.96,0.98
 84-94,2.12,0,0,0,0,1.06,0,8.5,0,0,0,4.25,2.12,0,1.06,0,0,0,0,0,0,0,0,0,0,3.19,0
 96-106,1.09,0,0,0,1.09,0,0,4.37,2.19,0,0,6.56,1.09,0,0,0,0,2.19,0,0,0,0,0,0,6.56,1.09,0
108-118,0,0.77,0,0,0,0,1.53,4.6,0.77,0.77,0,0.77,0,0,6.89,0,0,0.77,0,0,0,0,0.77,0,3.06,1.53,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,3.92,1.96,0
