stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,5.26,0,2.63,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,18.88,0,3.15,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,1.72,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0.77,0,2.3,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0
