stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,49.95,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,1,5,0,0
 24-34,0,0,1.64,0,1.64,0,0,0,0,0,0,1.64,0,0,0,3.28,2.46,0,5.75,0.82,0,0,0,0,0,0,0,2.46,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0.81,0.81,0.81,6.45,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0.57,1.15,0,0,0,1.15,2.3,0.57,4.59,0,0,0,0,0.57,0,0,0,0.57,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,1.96,0,0,0,1.96,2.94,0,4.91,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,7.85,0,0,0.98,1.96,3.93,0,0.98,0,14.72,0,0,0,2.94,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,5.31,0,0,0,4.25,3.19,0,1.06,1.06,9.56,0,0,1.06,3.19,1.06,0,3.19,0,0,0,0,0,0,0,0,2.12,0,0,1.06,1.06
 96-106,0,0,9.84,0,0,1.09,4.37,3.28,0,1.09,0,14.21,0,0,0,4.37,0,0,6.56,0,0,0,0,0,2.19,0,0,3.28,0,0,0,0
108-118,0,0,3.83,0,1.53,0,27.57,1.53,0.77,0,0.77,14.55,0,0,0,7.66,2.3,1.53,3.83,0,0,0,0,0,0,0,0,2.3,0,0,0,0
120,0,0,0,0,0,0,5.88,0,0,0,0,11.76,0,1.96,0,5.88,0,0,15.68,0,0,1.96,0,0,0,0,0,5.88,0,0,0,0
