stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,6.29,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,1,0,42,0,0,1,5,46,0,0,3,3,0,0,1,1,4,0,0,9,0,0,0,0,10,5,0,0,9,0,0,0,1
 24-34,0,0,0,0,1.64,0,0,161.71,0,0,0,1.64,34.48,0,0,13.95,11.49,1.64,0,0,1.64,36.12,0,0.82,27.09,0,5.75,0.82,0,16.42,0,0,0,11.49,0,0.82,0,1.64
 36-46,0,0,0,0,1.61,0.81,0,104.74,0,0,0.81,3.22,10.47,0,0,9.67,25.78,0.81,0,0.81,2.42,38.67,0,0,47.53,1.61,3.22,0,0,10.47,1.61,0,0.81,5.64,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,102.14,1.15,0,0,1.72,16.64,0.57,0,5.16,39.02,1.72,0,0,3.44,33.85,0,0,32.13,0,2.87,0.57,0,6.89,0,0,0,3.44,0,0,0,0.57
 60-70,0,0,1.96,0.98,2.94,0,0,88.34,0.98,0.98,1.96,4.91,9.82,0,0.98,2.94,69.69,0.98,0,0,6.87,32.39,1.96,1.96,19.63,0,6.87,0,0,5.89,0,0,0,1.96,0,0.98,0,1.96
 72-82,0,0,3.93,0,1.96,0.98,0,63.81,1.96,0.98,0,23.56,6.87,0,1.96,2.94,65.77,9.82,0,0,3.93,62.83,0.98,0,19.63,0,9.82,0.98,0,2.94,0,0,0,2.94,0,0,0,0
 84-94,0,0,3.19,0,12.74,2.12,0,123.2,2.12,0,1.06,98.77,7.43,0,1.06,4.25,117.89,10.62,0,1.06,3.19,70.09,0,0,12.74,0,19.12,0,0,11.68,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,4.37,0,1.09,67.76,4.37,0,3.28,114.75,2.19,0,0,4.37,121.31,29.51,1.09,0,6.56,78.68,0,0,19.67,1.09,26.23,0,0,13.11,0,1.09,0,4.37,1.09,0,0,1.09
108-118,0,0,0,2.3,7.66,1.53,0,62.81,0.77,0,2.3,140.17,0,0,1.53,5.36,179.24,9.96,0.77,0.77,5.36,58.98,0,0,9.19,0,26.04,0,0,8.43,0,4.6,0,0,0,0,0.77,0.77
120,0,0,0,1.96,9.8,1.96,0,29.4,0,0,1.96,66.63,0,0,0,3.92,117.59,3.92,0,1.96,0,29.4,0,0,7.84,0,13.72,0,0,3.92,0,0,0,0,0,0,0,0
