stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,15.77,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0,186.64,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,18.88,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,0,0,0,1,0,0,1,7,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,4.1,0,2.46,45.15,4.93,1.64,0,0,0,0,0,2.46,7.39,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,2.42,0,0,0,0,0,0,0,2.42,0,0.81,62.04,8.06,3.22,0,0,0,0,0,0,16.92,0,0,0.81,0,0
 48-58,0.57,0,0,0,0,0,10.9,0,1.15,1.15,0,0,0,0.57,0.57,0,0.57,4.59,0,1.72,114.19,11.48,0,0,0,0,0,0,0,10.9,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,12.76,0,0.98,3.93,0,0,0,0,0,0,0,68.71,0,0.98,35.33,20.61,0,0,0,0,0,0,0,4.91,0,0,0,0.98,0
 72-82,0,0,0,1.96,0,0,35.34,0,0,8.83,0,0.98,0,0,0,0,0,321,0,0.98,98.17,20.61,1.96,0,0,0,0,0,0,7.85,0,1.96,0,0,0
 84-94,0,0,0,1.06,2.12,0,12.74,1.06,0,2.12,0,0,0,0,0,0,0,227.28,1.06,1.06,23.36,37.17,0,0,0,0,0,1.06,0,2.12,0,6.37,0,3.19,0
 96-106,0,0,0,3.28,1.09,0,15.3,0,0,2.19,0,0,0,0,0,0,1.09,185.78,1.09,1.09,30.6,25.14,2.19,1.09,0,0,0,0,0,1.09,0,4.37,2.19,9.84,1.09
108-118,0,0,0,2.3,0,0,7.66,0,0.77,1.53,0,0,0.77,0,0,0,0,149.36,0,0,26.04,31.4,0,1.53,0,0,0,0,0,0,0,5.36,0,2.3,0.77
120,0,0,0,9.8,0,1.96,3.92,0,0,5.88,0,0,0,0,0,1.96,0,156.78,0,0,13.72,41.16,0,0,0,0,0,0,0,1.96,1.96,1.96,0,5.88,0
