stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,113.29,9.44,0,0,47.2,0,3.15,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,1,0,3,0,1,6,0,1,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,1.64,0,0,2.46,45.97,0,1.64,0,0,3.28,0,0,0,0.82,18.06,0,3.28,0,0
 36-46,0,0,0,2.42,0,9.67,0,0.81,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0.81,103.13,0,0.81,0.81,0,0.81,0,0,0,0,20.95,0,0,0,0
 48-58,0,0,0,1.72,0,15.49,0,1.15,3.44,0,0,1.15,0,0,0,0,0,6.89,0,0,0.57,70,0.57,0.57,0,0,1.72,0,0,0,0,20.08,0,0,0,0
 60-70,0,0,0,0,0,15.7,1.96,0,5.89,0,0,0,0.98,0,0,0,0.98,7.85,0,0,0.98,58.89,0.98,0.98,0,0,0.98,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0.98,1.96,20.61,0,0.98,1.96,0,0,0,0,0,0,0,0,8.83,0,0,0.98,61.84,0,0,0,0,3.93,0,0,0,0,7.85,0.98,3.93,0,0
 84-94,0,0,0,3.19,2.12,13.81,0,1.06,2.12,1.06,0,0,2.12,1.06,0,0,0,12.74,1.06,0,1.06,32.92,0,1.06,0,0,11.68,0,0,0,0,4.25,0,2.12,1.06,0
 96-106,0,0,0,3.28,1.09,5.46,2.19,0,3.28,1.09,0,0,0,0,1.09,1.09,0,7.65,0,0,1.09,28.41,0,2.19,1.09,0,8.74,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,3.06,3.06,9.96,0,0,4.6,0.77,0,0,0,0.77,0,0,0,6.13,0,0.77,0,25.28,0.77,0,0,0,5.36,0,0,0,0,2.3,0,1.53,0.77,0.77
120,0,0,0,1.96,0,9.8,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,3.92,27.44,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
