stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0
 24-34,0,0,0,0,0,0,0,25.45,0,0,0,0,0,1.64,0,0,0,0.82,1.64,0,17.24,0
 36-46,0,0,0,3.22,0,0,0,41.09,0,0,0,0,0,3.22,0,0,0,0,0.81,0,14.5,0
 48-58,0,0,0,0.57,0,0,0,41.31,0,0.57,0,0,0,7.46,0,0,0,0,0,0,14.35,0
 60-70,0,0,0,1.96,0,0,0,64.78,0,0,0,0.98,0,6.87,0,0,0,0.98,0,0,7.85,0.98
 72-82,0,0,0,2.94,0,0,0,74.61,0,1.96,0,0,0,2.94,0.98,0,0,0,0,0.98,30.43,0
 84-94,0,0,0,1.06,1.06,0,0,100.89,0,0,0,0,0,1.06,0,0,0,0,0,0,13.81,0
 96-106,0,1.09,1.09,0,0,1.09,1.09,166.11,1.09,2.19,1.09,1.09,0,5.46,0,0,0,2.19,0,0,45.9,2.19
108-118,0.77,0,0,1.53,0.77,0,0,127.15,0,0.77,0,0,0,6.13,0,0.77,0,0,0,0,23.74,0
120,0,0,0,0,0,1.96,0,105.83,1.96,1.96,0,0,1.96,1.96,0,0,0,1.96,0,0,17.64,0
