stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,52.71,909.28,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,55.17,643.61,6.13,0,0,0,0,0,0,12.26,0,0,0,24.52,0,0,0,0,0,0
  7-9,13.14,13.14,13.14,0,18.4,0,0,10.51,0,189.27,5.26,0,92,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,62.94,3.15,0,28.32,0,0,0,3.15,0,0,0
 14-21,0,0,0,3,0,0,0,0,2,15,1,1,0,2,2,5,0,1,2,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,7.39,0,0,0,0.82,0,0,0,0,1.64,0.82
 36-46,0,0,0,1.61,1.61,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,1.15,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
