stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.14,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,3,3,0,0,3,0,1,0,0,0,0,9,0,0,4,115,2,0,0,3,0,0,15,0,0,6,34,0,1,0,0
 24-34,0,0,0,0.82,4.1,0,15.6,0,0,2.46,0.82,0,0,0,0,0,12.31,0,0,7.39,155.96,0,0.82,5.75,0,0,0.82,0,0,0,3.28,41.04,0,1.64,0,1.64
 36-46,0,0,0,0,2.42,0,22.56,0,2.42,7.25,0,0,0,0,0,0,24.98,0,0,2.42,110.38,0,4.03,2.42,0,0,0.81,0,0,0,0,37.87,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,29.84,0,2.3,12.05,0,0,0,0,0,0,22.95,0,0.57,4.02,73.45,0,2.87,4.59,0,0.57,0,0,0,0,0,23.53,0,1.72,0,0.57
 60-70,0,0,0,0,3.93,0.98,63.8,0,1.96,11.78,0.98,0,0,0,0,0,29.45,0,1.96,2.94,120.73,0,1.96,3.93,0,0,1.96,0,0,0,0,23.56,0,0,0,0
 72-82,0,0,0,0,2.94,0,40.25,0.98,0.98,10.8,0.98,0,0,0.98,0,0,38.28,0,0.98,1.96,95.22,0,2.94,27.49,0,0.98,0,0,0,0,0,13.74,1.96,1.96,0.98,0.98
 84-94,0,0,0,0,2.12,0,35.05,0,3.19,7.43,3.19,1.06,2.12,0,2.12,2.12,37.17,0,2.12,2.12,71.16,1.06,2.12,35.05,0,0,0,0,0,0,0,2.12,2.12,1.06,3.19,0
 96-106,0,0,0,0,4.37,0,24.04,1.09,2.19,5.46,1.09,0,1.09,0,3.28,1.09,38.25,2.19,3.28,4.37,53.55,0,4.37,54.64,0,0,0,0,0,1.09,0,3.28,1.09,3.28,3.28,0
108-118,0,0,0.77,0.77,9.19,0,19.92,0.77,3.83,9.19,3.83,0,1.53,0.77,1.53,0,31.4,0,2.3,3.83,94.21,1.53,3.06,33.7,0,0,0.77,0,0,0,0,6.89,0,1.53,1.53,0
120,0,0,0,0,3.92,0,15.68,0,0,7.84,0,0,0,0,3.92,0,7.84,0,0,1.96,47.03,0,1.96,37.24,0,0,1.96,0,0,0,0,3.92,0,0,1.96,0
