stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,15.73,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,185.67,0,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,116,3,0,0,5,0,1,3,0,0,0,8,0,0,0,0,47,0,0,9,24,0,0,0,0,0,3,0,0,1,2,30,0,0,0,0,0
 24-34,0,3.28,1.64,29.55,0,2.46,0,32.01,0,0,5.75,0,5.75,0,3.28,0,0,0.82,0.82,28.73,0,0.82,7.39,132.98,0,5.75,0.82,0,0,11.49,0,0.82,0.82,0.82,63.21,0,0,0,0,0
 36-46,0,0,1.61,4.83,0,9.67,0,12.89,0.81,3.22,1.61,0,5.64,0,0,0.81,0,0,0,21.75,0,4.03,1.61,429.42,0.81,6.45,0,0,0,6.45,0,0,0,0.81,132.13,0,0,0.81,0,0
 48-58,0,0,0,3.44,0.57,41.31,0,18.94,0,18.36,0.57,2.3,1.72,0.57,1.15,0,0,0,0,29.84,0,2.3,5.16,626.59,0.57,3.44,0,0,0,10.9,0,0,0,0,126.24,0,1.15,0.57,0,1.15
 60-70,0,0,0,5.89,0.98,66.74,0,31.41,0.98,23.56,1.96,0.98,1.96,3.93,0.98,0,0,0,0.98,78.52,0,2.94,2.94,839.2,0,3.93,1.96,0,0,13.74,0,0,0,0,153.12,0,0.98,2.94,1.96,0.98
 72-82,0,2.94,0.98,7.85,0,103.07,1.96,15.71,3.93,17.67,1.96,2.94,3.93,5.89,0,0,0.98,0,0,95.22,0.98,9.82,0.98,761.77,0,4.91,2.94,0,1.96,18.65,0,0,0,0,89.33,0,1.96,2.94,9.82,1.96
 84-94,0,0,0,15.93,2.12,76.47,2.12,26.55,1.06,15.93,2.12,0,1.06,4.25,4.25,2.12,0,0,0,52.04,0,4.25,6.37,354.72,0,2.12,1.06,0,0,22.3,0,1.06,0,0,37.17,3.19,3.19,0,9.56,1.06
 96-106,0,3.28,0,16.39,0,59.01,1.09,29.51,2.19,18.58,8.74,0,1.09,6.56,5.46,1.09,0,2.19,1.09,61.2,0,7.65,0,268.84,0,5.46,3.28,0,0,14.21,0,1.09,0,0,14.21,2.19,3.28,2.19,12.02,1.09
108-118,0,0.77,0,17.62,1.53,62.81,1.53,42.89,0,6.89,2.3,0,1.53,11.49,3.83,0,0.77,0.77,1.53,42.13,0.77,3.06,1.53,321.7,1.53,3.83,2.3,0,0,5.36,0,0,0.77,0,11.49,1.53,0.77,0,6.89,0.77
120,0,1.96,0,19.6,1.96,43.12,0,25.48,5.88,11.76,0,0,0,15.68,0,0,1.96,0,0,27.44,0,0,1.96,356.68,0,3.92,5.88,0,1.96,17.64,0,0,0,0,23.52,1.96,1.96,1.96,9.8,0
