stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,2243.45,18.39,0,0,0,0,0,0,0,0,0,0,0,649.74,6.13,0,202.28,0,12.26,0,0,0,0,0,0,0
  7-9,44.69,152.47,165.61,0,0,44.69,0,0,0,34.17,0,0,0,0,1863.76,128.81,0,5091.82,0,2.63,15.77,0,2.63,0,0,0,0
 10-12,0,53.5,94.41,0,0,6.29,0,0,0,0,0,0,0,0,220.29,22.03,0,2498.69,0,0,12.59,22.03,97.56,0,18.88,0,0
 14-21,0,2,0,1,10,1,0,0,0,0,0,1,0,8,16,3,0,4,0,0,0,468,0,7,304,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,7.39,0,0.82,0,0,0.82,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0,3.22,0,1.61,0,0,0,0,0,0,16.92,0,0,0,0.81,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,49.92,0,1.15,0,0,0,0,0,0,19.51,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,81.47,0,0.98,0,0,0,0,0,0,13.74,0,0,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,35.34,0.98,0.98,0,0,0,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,19.12,0,0,0,0,1.06,0,3.19,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,16.39,0,1.09,0,0,0,0,2.19,0,4.37,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,15.32,0,0.77,0,0,0,0,0.77,0,12.26,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,11.76,0,0,1.96,0,0,0,3.92,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
