stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,25.18,0,0,50.35,0,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,0,16,25,0,2,0,0,204,1,0,0,0,0,0,0,19,0,3,183,10,5,79,43,0,1,6,189,0,9,701,0,0,0,0
 24-34,0,0,0.82,8.21,0,0,4.1,0,3.28,206.03,0.82,0,0,0.82,1.64,0,0,13.95,0,4.1,169.92,3.28,23.8,9.85,0,0,0,0,91.94,1.64,5.75,481.84,0,0,0,0
 36-46,0,0,0,1.61,0,0,12.09,0,0.81,132.13,4.03,0,0,0,0,1.61,0,1.61,0,1.61,153.88,0,21.75,8.86,0,2.42,0,0,38.67,2.42,0,331.94,0,0,0,0.81
 48-58,0,0,0,2.3,0,0,11.48,0,0,134.27,0.57,0,0,0,4.02,0.57,0,4.59,0.57,1.72,100.42,0,12.05,9.18,0,0,0,0,15.49,0,0,295.51,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,6.87,0,0.98,113.86,0,0,0,0,9.82,0,0,3.93,0,0,66.74,0,18.65,13.74,0,0,0,0,9.82,0,0,118.76,0,0,0,0
 72-82,0,4.91,0,1.96,1.96,0,17.67,0.98,0,151.18,9.82,0,0,0,17.67,0,0,1.96,0,0.98,63.81,0,22.58,48.1,0,1.96,0,0,16.69,0,0,57.92,0,0,0.98,0.98
 84-94,0,2.12,1.06,0,1.06,0,23.36,0,0,99.83,3.19,0,0,0,30.8,0,0,7.43,0,1.06,41.42,0,29.74,66.91,0,1.06,1.06,0,25.49,0,0,66.91,0,0,0,0
 96-106,0,2.19,4.37,1.09,0,1.09,16.39,0,1.09,88.52,4.37,1.09,0,0,60.11,0,1.09,3.28,1.09,0,34.97,0,45.9,81.96,0,4.37,1.09,0,20.76,0,0,41.53,1.09,0,0,0
108-118,0,0.77,2.3,3.06,2.3,0.77,8.43,0.77,0,75.83,0,0.77,0,0,29.11,0,0,2.3,0.77,0,41.36,0,32.94,55.92,0,1.53,0.77,0,19.15,0,0,30.64,0,0,0,0
120,0,0,0,1.96,0,0,5.88,0,0,47.03,1.96,0,1.96,0,27.44,0,0,1.96,0,0,35.28,0,17.64,45.08,0,0,0,0,17.64,0,0,23.52,0,1.96,0,0
