stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,2,0,0,0,0,0,30,0,0,0,0,0,56,0,11,9,0,0,1,0,0,3,0,0,1,7,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,1.64,0,0,0,0.82,0,27.09,0.82,0,0.82,0,0,17.24,0.82,6.57,16.42,0,0,0,0,2.46,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0,18.53,0,0,0,0,0.81,3.22,0.81,1.61,12.09,0,0,0,0.81,0.81,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,2.87,0,0,0.57,0,0,9.75,0,0,0,0,1.15,4.59,1.72,1.15,9.75,0,0,0,0,0,0,0,0.57,0,1.15,0.57,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,6.87,0,0,0,2.94,0,11.78,0,0,0,0,2.94,2.94,0,0,12.76,0,1.96,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,2.94,0,0,0,2.94,0,2.94,0,0,0,0,13.74,9.82,1.96,0,9.82,0,0.98,0,0,1.96,0,0,0,0,0,5.89,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,4.25,0,0,0,0,0,5.31,0,0,0,0,63.72,2.12,0,0,5.31,0,1.06,0,0,1.06,0,0,0,0,1.06,4.25,1.06,0,0
 96-106,0,0,0,0,5.46,2.19,0,3.28,0,0,0,2.19,3.28,12.02,0,1.09,1.09,0,28.41,5.46,0,0,17.49,0,0,0,0,3.28,0,0,0,0,1.09,1.09,0,3.28,0
108-118,0,0,0,0,3.06,0.77,0.77,3.06,0.77,0,0,3.06,0.77,8.43,0,0.77,0,0.77,147.06,6.89,0.77,1.53,24.51,0.77,0.77,0,0,0.77,0,0,0.77,0,0.77,1.53,0.77,1.53,0
120,0,0,0,0,3.92,0,0,5.88,1.96,0,1.96,0,1.96,5.88,1.96,0,0,0,19.6,3.92,0,0,7.84,0,3.92,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0
