stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.73,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.05,3.15,0,0,78.67,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,4,35,55,0,104,0,0,0,8,2,0,2,1,1,0,0,3,29,0,0,14,865,4,3,7,5,0,9,4,42,1,1,53,132,0,0,5,0,1
 24-34,0.82,0.82,6.57,40.22,33.66,0,315.21,0,0,0,11.49,0.82,0.82,4.1,10.67,4.1,2.46,4.1,7.39,93.58,0.82,0,26.27,1260.83,0.82,5.75,19.7,0,0,18.06,0.82,0,0.82,0,18.88,165.81,0,0,9.85,0,7.39
 36-46,0,0,2.42,15.31,3.22,0,283.6,0.81,0,1.61,24.17,3.22,0,4.03,2.42,7.25,1.61,2.42,2.42,84.6,0,2.42,19.34,638.09,0.81,5.64,8.06,0,0,6.45,1.61,0.81,1.61,0,0,110.38,0,0,16.11,0,2.42
 48-58,0,0,0,15.49,2.3,0,246.74,1.72,1.15,4.59,44.18,6.89,2.3,1.15,0,4.02,2.3,4.02,1.15,97.55,1.72,4.59,30.99,313.87,0.57,2.3,4.02,0,0,3.44,0,0,1.15,0.57,0,44.76,0,0.57,6.89,0,4.02
 60-70,0,0.98,0,16.69,0,0,127.6,0.98,1.96,3.93,45.15,29.45,3.93,2.94,2.94,1.96,3.93,7.85,0,85.39,0,4.91,22.58,186.49,0,3.93,0.98,0,0,4.91,0,0,1.96,0,0,17.67,0,0.98,8.83,0,2.94
 72-82,0,0.98,0,18.65,5.89,0.98,107.98,1.96,0,7.85,61.84,88.35,1.96,11.78,0.98,1.96,4.91,3.93,0.98,132.52,1.96,2.94,32.39,193.39,0.98,6.87,8.83,0,0.98,3.93,0.98,0,7.85,0,0,3.93,0.98,1.96,15.71,2.94,1.96
 84-94,0,3.19,0,40.36,24.43,5.31,132.75,2.12,7.43,10.62,42.48,212.41,0,18.05,6.37,7.43,4.25,9.56,1.06,98.77,0,7.43,50.98,184.79,1.06,8.5,8.5,0,0,35.05,0,0,5.31,0,0,7.43,6.37,4.25,14.87,2.12,1.06
 96-106,0,2.19,0,28.41,17.49,5.46,97.26,1.09,1.09,7.65,49.18,240.43,4.37,16.39,2.19,3.28,5.46,8.74,0,121.31,2.19,4.37,41.53,157.37,2.19,7.65,12.02,0,0,44.81,0,0,3.28,0,0,7.65,1.09,3.28,22.95,7.65,2.19
108-118,0,0,1.53,61.28,21.45,9.19,123.32,0,7.66,3.83,56.68,230.55,0,29.11,6.13,10.72,3.06,8.43,0,110.3,3.06,3.83,40.6,197.62,1.53,4.6,6.89,0,2.3,33.7,0,0,3.83,1.53,0,0.77,3.83,3.06,20.68,3.83,3.06
120,0,0,0,60.75,21.56,3.92,82.31,0,11.76,9.8,48.99,103.87,0,7.84,1.96,1.96,3.92,11.76,3.92,96.03,1.96,3.92,41.16,146.98,3.92,3.92,7.84,0,1.96,45.08,0,0,3.92,1.96,0,0,1.96,0,13.72,3.92,1.96
