stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,6.57,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0,2.42,0,0,1.61,0,0,8.86,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,1.15,0,0,0,0,0,4.02,0,0,0,0,0,0
 60-70,0,0.98,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,5.89,1.96,0,1.96,1.96,0,0,0,5.89,3.93,0.98,2.94,0,0,0,0,0,4.91,0,0.98,0,0,0.98,0
 84-94,0,0,0,7.43,4.25,1.06,1.06,4.25,0,8.5,1.06,1.06,0,0,3.19,1.06,0,1.06,0,0,0,0,0,19.12,0,0,3.19,0,0,0
 96-106,0,0,0,6.56,1.09,1.09,3.28,6.56,0,9.84,3.28,1.09,0,1.09,3.28,1.09,0,0,0,3.28,0,0,0,12.02,1.09,1.09,7.65,1.09,0,0
108-118,0,0,0,7.66,0.77,1.53,3.83,0.77,0,7.66,1.53,1.53,0.77,0,8.43,1.53,0,0.77,0,0.77,0,0,0.77,12.26,1.53,0,3.83,0,0.77,1.53
120,0,0,0,7.84,1.96,0,9.8,0,0,7.84,0,0,1.96,0,5.88,1.96,0,1.96,0,0,0,0,0,25.48,0,0,3.92,0,1.96,0
