stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,4651.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,2782.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,36.78,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,42.06,0,55.2,0,0,0,102.52,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,785.99,7.89,0,0,262.87,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,18.88,0,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.63,18.88,0,0,160.5,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,12,42,8,0,21,0,0,0,4,3,0,0,0,2,0,0,0,26,0,0,14,305,6,3,2,6,0,0,16,2,1,20,99,0,0,2,0,0
 24-34,0,0,0.82,4.1,14.78,0.82,0,40.22,0,0,0.82,4.1,1.64,0,0,0,1.64,0.82,2.46,0.82,34.48,1.64,0,7.39,336.55,1.64,2.46,3.28,0,4.93,0,0,0.82,0,2.46,68.95,0,0,6.57,0,0
 36-46,0,0,0,0,3.22,0.81,0,44.31,0,0,0.81,10.47,0.81,0,0,0,1.61,0.81,2.42,0.81,22.56,0,0.81,2.42,277.96,0,5.64,5.64,0,3.22,1.61,0,0,0,0,56.4,0,0,1.61,0,0
 48-58,0,0,0,0,4.59,0,0,47.63,0,0,0.57,15.49,0.57,0,1.72,0,1.15,0,0.57,0.57,22.95,0,1.15,3.44,167.55,0.57,0.57,1.72,0,6.89,0,0,0.57,0,0,26.4,0,0,1.72,0,0.57
 60-70,0,0,0,0,3.93,0,0,59.87,0,0.98,2.94,24.54,1.96,0.98,0,0,1.96,0,1.96,0,31.41,0,2.94,1.96,193.36,0,2.94,2.94,0,22.58,0,0,0,0,0,22.58,0,0.98,0,0,0
 72-82,0,0,0.98,0,5.89,0,0,66.75,0,0,0.98,22.58,3.93,0.98,0,0,1.96,0,0.98,0.98,45.16,1.96,2.94,6.87,196.33,1.96,0.98,3.93,0,29.45,0,0,0,0,0,22.58,0,1.96,7.85,1.96,1.96
 84-94,0,0,1.06,0,12.74,0,0,23.36,0,0,3.19,12.74,0,2.12,1.06,0,3.19,0,1.06,0,16.99,1.06,3.19,4.25,63.72,2.12,3.19,7.43,0,106.2,0,0,2.12,0,0,2.12,1.06,1.06,2.12,1.06,1.06
 96-106,0,0,1.09,0,8.74,0,1.09,24.04,0,1.09,3.28,25.14,5.46,0,0,0,4.37,1.09,1.09,0,37.16,2.19,0,4.37,64.48,0,1.09,7.65,0,88.52,0,0,1.09,0,0,7.65,0,2.19,4.37,0,0
108-118,0,0,0.77,0,15.32,0.77,0,25.28,0,1.53,1.53,14.55,3.06,0,1.53,2.3,6.13,0,5.36,0.77,22.21,3.06,2.3,1.53,76.6,0,0.77,3.83,0,64.34,0,0,0.77,0,0,3.83,0.77,0.77,3.83,0.77,0
120,0,0,1.96,0,11.76,1.96,0,19.6,1.96,3.92,0,9.8,1.96,0,0,1.96,7.84,0,0,0,19.6,3.92,0,5.88,109.75,0,1.96,1.96,0,80.35,0,0,0,0,0,3.92,0,0,3.92,0,0
