stage,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,mucous,mural.cell,neural,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,1,3,0,0,0,0,0,0,0,3,1,0,2,6
 24-34,0,0.82,0,0,0,0,1.64,0.82,0,16.42,0.82,0,3.28,7.39
 36-46,0,0,2.42,0,0,0,0.81,0,0,99.1,0,0.81,20.14,4.03
 48-58,0,0,6.31,0,0,0,0.57,0,0,75.74,0,0,14.92,0.57
 60-70,0,0,51.04,0,0,0,0.98,0,0,230.66,0,0,19.63,0
 72-82,0,0,11.78,0,0.98,0,0,0,0.98,62.83,0.98,0,7.85,0
 84-94,1.06,0,12.74,0,1.06,0,0,0,0,25.49,3.19,0,1.06,1.06
 96-106,0,0,2.19,1.09,0,0,1.09,0,0,14.21,4.37,0,1.09,0
108-118,0,0,7.66,1.53,0,0.77,0.77,0,0.77,26.04,1.53,0,0,0
120,0,0,5.88,3.92,3.92,0,3.92,0,0,45.08,3.92,0,1.96,0
