stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,0,0,1,5,0,0,0,0
 24-34,0,0,1.64,0,5.75,0,0,0.82,1.64,0.82,0.82,0,0,0,0.82,2.46,0,0,0.82,76.34,0,0.82,0,0,0,0,0.82,9.85,0,0,0.82,0
 36-46,0,0,1.61,0,21.75,0.81,0,0,1.61,0,0,0,0,0,0,3.22,0,0,0.81,160.33,0,1.61,0,0,0,0.81,0,26.59,0,0,0,0
 48-58,0,0,0,0,26.97,0.57,0.57,0,5.16,0,0.57,0,0,0,0,8.61,0.57,0,1.15,131.98,0,1.15,0.57,0,0.57,0,0,28.69,0,0,0,0
 60-70,0,0,0.98,0,62.82,0,0.98,0.98,8.83,0,0.98,0,0,0,0,8.83,0,0.98,0,138.39,0,1.96,0,0,0,0.98,0,20.61,0,0.98,0,0
 72-82,0,0,1.96,2.94,46.14,0,0,0,4.91,0,0,0,0,0.98,0,14.72,0,1.96,1.96,126.63,0,0.98,0.98,0,0,0.98,0,2.94,0,0.98,0,0.98
 84-94,0,0,0,0,27.61,1.06,1.06,0,14.87,0,0,0,1.06,0,0,6.37,0,0,2.12,55.23,0,1.06,2.12,0,0,2.12,0,10.62,0,0,0,0
 96-106,0,0,1.09,0,21.86,0,0,0,7.65,0,0,2.19,0,0,0,15.3,0,0,3.28,48.09,0,2.19,0,0,0,1.09,0,1.09,1.09,1.09,1.09,1.09
108-118,0,0,0.77,0,9.19,0,0.77,0,2.3,0,0,0.77,0,0,0,6.89,0,0,1.53,42.13,0,0.77,0.77,0,0,0,0,1.53,0,0.77,0.77,0
120,0,0,3.92,1.96,21.56,0,0,0,7.84,1.96,0,0,0,0,0,11.76,0,1.96,3.92,66.63,0,3.92,0,0,0,1.96,0,0,0,0,1.96,0
