stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,1,2,0,0,2,0,0,2,0,0,0,10,1,0,0,0,0,2,1,4,5,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,8.21,0,0,0,0,4.1,0,0,0.82,3.28,0,0
 36-46,0,0.81,0,4.83,0,0,0,0,0,1.61,0,0,0.81,34.64,0,1.61,0,0,2.42,0,0,0,5.64,0,0
 48-58,0,0.57,0,9.75,0,0,2.87,0,0,4.59,0,0,1.15,31.56,0,0.57,0,0,0.57,0,0,0,4.02,0,0.57
 60-70,0,0.98,0,14.72,0,0,2.94,0,0,7.85,0,0.98,0.98,23.56,0,0.98,0,0,4.91,0,0,0,1.96,0,0
 72-82,0,0,0,10.8,0.98,0.98,1.96,0,0,8.83,0,0,0,18.65,0,0.98,0,0,4.91,0,0,0,0,0,0
 84-94,0,0,0,8.5,0,0,3.19,1.06,0,2.12,0,1.06,0,15.93,0,0,0,0,16.99,0,0,0,2.12,0,0
 96-106,0,0,1.09,6.56,0,0,1.09,1.09,0,2.19,0,0,1.09,14.21,1.09,0,0,0,13.11,0,0,0,0,0,0
108-118,0,2.3,0,7.66,0,0,1.53,0.77,1.53,3.06,0.77,0,0,9.96,0,0.77,0.77,0,14.55,0,0,0,0,1.53,0
120,0,0,1.96,5.88,1.96,0,0,1.96,0,1.96,0,0,0,7.84,0,0,0,0,19.6,0,0,0,0,1.96,0
