stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,1,2,1,1,9,0,0,0,0,0
 24-34,0,0,2.46,4.1,0,0,0.82,0.82,0.82,0,0,0,0,0,3.28,0,0,0,0.82,0,0,0.82,55,0,1.64,0,0,6.57,0,0,4.1,0.82,23.8,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,1.61,0,0,0,1.61,0.81,0,0,4.83,0,0,2.42,149.85,1.61,0.81,0,0,5.64,0,0,0,0,31.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,10.33,0,0,0,3.44,0,0,0,0.57,3.44,0,0,19.51,3.44,0,0.57,197.96,0,0.57,0.57,1.15,0.57,0,0,0.57,0,39.02,0,0,0,0,1.72
 60-70,0,0,0,0.98,0,0,25.52,0,0,0,10.8,0,0,0,0,2.94,0,0,60.85,0.98,0,2.94,468.19,0,0.98,0.98,0,3.93,0,0,0,0,50.06,0,0.98,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,52.03,0,0,0,23.56,0,0,0.98,0.98,3.93,0.98,0,141.36,1.96,0.98,2.94,475.12,0,1.96,0.98,0,0,0,0,0,0,48.1,0.98,0.98,0.98,0.98,0.98
 84-94,0,0,0,3.19,0,0,31.86,0,0,0,10.62,1.06,0,0,2.12,7.43,1.06,1.06,100.89,0,2.12,2.12,228.34,2.12,1.06,3.19,2.12,0,0,1.06,0,0,25.49,0,0,0,1.06,0
 96-106,0,1.09,0,5.46,1.09,0,29.51,0,1.09,2.19,18.58,2.19,0,0,1.09,3.28,0,0,102.73,2.19,1.09,1.09,209.83,0,0,6.56,0,4.37,0,0,0,0,17.49,0,0,1.09,0,0
108-118,0,0.77,0,3.06,1.53,0.77,24.51,0,0,1.53,19.15,2.3,0,0.77,1.53,13.79,0,0,92.68,1.53,0.77,1.53,191.49,0,0,3.83,0.77,0.77,0,0,0,0,11.49,0.77,0.77,0.77,0,1.53
120,0,0,0,5.88,0,0,33.32,0,1.96,0,19.6,0,0,0,1.96,3.92,0,0,86.23,0,1.96,3.92,268.49,0,0,3.92,0,0,0,0,0,0,11.76,0,0,1.96,0,0
