stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,6,0,3,7,0,0,1
 24-34,0,0.82,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,3.28,0,1.64,2.46,9.85,0,0.82,0,0.82,0,0.82,1.64,4.93,0,0,0
 36-46,0,0,0.81,0,4.03,0,0.81,0,0.81,0,0,0,0,0,0,1.61,0,0,2.42,8.06,0.81,0,0,0.81,0,0,0,5.64,0,0,0
 48-58,0,0,1.15,0,2.3,0,0.57,0.57,1.72,0,0.57,0,0.57,0.57,0,2.87,0,0,0,10.33,0,0.57,0,1.15,0,0,0,4.59,0,0,0.57
 60-70,0,0,0.98,0,2.94,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,31.41,0.98,0,0,0.98,0,0.98,0,0.98,0,0,0
 72-82,0,0.98,0,0,8.83,0.98,0.98,0,3.93,0,0,0,0,0,0,2.94,0.98,0,0,10.8,0.98,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,3.19,2.12,6.37,0,0,1.06,0,2.12,1.06,1.06,1.06,0,0,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,4.37,0,1.09,0,0,1.09,0,0,0,0,0,3.28,1.09,0,0,7.65,3.28,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,3.06,0,0,0,0.77,2.3,0,0,0,0.77,0,1.53,0,0,0.77,8.43,0.77,1.53,0,2.3,0,0.77,0,0,0.77,0,0
120,0,0,1.96,1.96,1.96,0,0,0,0,1.96,0,3.92,0,1.96,1.96,0,0,0,0,3.92,3.92,0,0,5.88,0,0,0,0,0,0,0
