stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,31.54,2.63,0,28.92,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,59.79,3.15,0,12.59,0,3.15,6.29,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,13,0,0,1,0,2,0,0,1,3
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0,0.82,0,8.21
 36-46,0,0,0,0,0.81,0,6.45,0,0,0,0,0,0,0.81,0,0,16.92,0,0.81,0,0,0,0,0,0,2.42
 48-58,0,0,0,0,0,0,3.44,0,0.57,0,0,0,0,0,0.57,0.57,5.16,0,0,0,0,0,0,0,0,1.72
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0.98,8.83,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,7.85,0,0,0,0,0,0,2.94,0,0.98,13.74,0,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,1.06,2.12,0,1.06,0,1.06,0,1.06,2.12,0,0,9.56,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,3.28,0,0,2.19,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,0.77,1.53,2.3,0,0,0,0,0.77,0,1.53,0,0,3.06,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0,0
