stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,61,1,1,5,0,8,3,0,18,0,0,2,0
 24-34,0,0,0,0,9.03,0,0,18.88,0,0,0,1.64,0,0,0,0.82,3.28,0.82,0,4.1,0,0,1.64,126.41,0,2.46,15.6,0,18.06,1.64,0,22.98,0,0,9.03,0
 36-46,0,0,0,0,2.42,0.81,0,14.5,0,0,0,4.83,0,0,0,0,1.61,0,0,8.06,0,0.81,1.61,74.12,0,3.22,22.56,0,11.28,0.81,0,12.89,0,0,34.64,0
 48-58,0,0,0,0,1.15,0,0,19.51,0,0.57,0,9.75,1.72,0,0,0,0.57,1.15,0,20.66,0.57,0.57,0.57,64.27,0,2.87,20.08,0,2.87,0,0.57,9.75,0,0,32.71,0
 60-70,0,0,0,0,4.91,0,0,32.39,0,0.98,0,17.67,4.91,0,0,0,0,0,0,12.76,0,0,0.98,67.73,0,0.98,8.83,0,2.94,0.98,0,8.83,0,0,31.41,0
 72-82,0,0,0.98,0,3.93,0,0,52.03,0,0,0,47.12,1.96,0,0.98,0,0.98,0.98,0.98,36.32,0.98,0.98,0.98,50.06,0,0.98,28.47,0,0.98,0,0,3.93,0.98,1.96,33.38,0
 84-94,0,0,2.12,0,9.56,1.06,0,140.19,0,0,0,22.3,2.12,0,1.06,1.06,0,0,0,31.86,0,0,2.12,37.17,0,5.31,41.42,1.06,11.68,0,1.06,5.31,2.12,0,27.61,0
 96-106,0,0,0,0,17.49,1.09,0,163.93,1.09,2.19,1.09,55.74,5.46,1.09,4.37,2.19,3.28,3.28,0,40.44,1.09,3.28,1.09,45.9,0,4.37,34.97,1.09,8.74,0,0,0,2.19,0,41.53,1.09
108-118,0,0,0.77,0.77,13.02,0,2.3,182.3,0,0.77,0,54.38,6.13,0.77,1.53,1.53,2.3,1.53,0,22.21,0.77,1.53,1.53,32.17,0.77,3.06,39.83,0,12.26,1.53,0,1.53,0.77,0,26.04,0
120,0,0,1.96,0,1.96,1.96,0,68.59,0,0,0,58.79,3.92,0,3.92,1.96,0,0,0,17.64,0,0,1.96,21.56,0,1.96,13.72,0,3.92,0,0,0,0,0,19.6,0
