stage,blastomeres,epidermis,eye,fast_muscle,immune,liver,muscle,neural,paraxial_mesoderm,periderm,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,2.63,0
 10-12,0,0,0,0,0,0,0,6.29,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,1.61,0,0.81,0
 48-58,0,0.57,0,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,2.12,0
 96-106,0,1.09,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,1.53,0,3.06,0
120,0,1.96,0,1.96,1.96,0,0,0,0,3.92,1.96
