stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,4.1,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,6.45,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0.98,0,0,203.18,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0.98,4.91,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,12.76,1.96,0,952.21,1.96,1.96,0.98,9.82,1.96,3.93,0,0,0,0,0.98,30.43,0,1.96,2.94,68.72,2.94,0,0.98,0,0,5.89,0,0.98,0,0,5.89,0.98,0,0,0.98,0
 84-94,0,14.87,4.25,0,1041.86,1.06,1.06,1.06,11.68,1.06,0,0,2.12,1.06,0,0,10.62,1.06,0,1.06,32.92,0,0,0,0,0,3.19,0,1.06,0,0,1.06,0,0,3.19,2.12,0
 96-106,0,25.14,4.37,1.09,982.47,3.28,3.28,3.28,14.21,5.46,2.19,2.19,1.09,1.09,1.09,0,17.49,0,1.09,1.09,69.94,1.09,1.09,1.09,0,1.09,12.02,0,1.09,1.09,0,0,1.09,0,5.46,1.09,2.19
108-118,0,10.72,3.06,2.3,701.62,0,0.77,0.77,9.19,3.06,0.77,1.53,0,0.77,0.77,0,18.38,0,1.53,3.06,85.79,1.53,0.77,1.53,0,0.77,4.6,0,0,0,0,0.77,1.53,0.77,2.3,0,1.53
120,0,15.68,3.92,0,862.31,0,1.96,3.92,3.92,5.88,5.88,1.96,0,1.96,3.92,0,15.68,0,0,1.96,48.99,0,1.96,3.92,0,0,11.76,0,0,0,0,0,1.96,1.96,0,0,0
