stage,eye,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,spinal.cord,xanthophores
 14-21,0,0,0,0,1,0,0,0,4,1,0,1,2,0
 24-34,0.82,0,0,0,0,0,1.64,0,4.93,0,0,0,0.82,0.82
 36-46,1.61,0,0,0,0,0,0,0,7.25,0,0.81,0,2.42,0
 48-58,1.15,0,0,0,0,0.57,1.72,0,4.59,0,0,0,2.3,0
 60-70,4.91,0.98,0,0,0,0,0.98,0.98,6.87,0,0.98,0,0,0
 72-82,4.91,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,3.19,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,4.37,0,2.19,1.09,0,0,0,1.09,7.65,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,1.53,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
