stage,endocrine_pancreas,eye,glial,liver,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,taste
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0
 14-21,0,3,3,0,0,0,2,0,0,0,1,3,0
 24-34,0.82,4.93,0.82,0,0,0.82,2.46,0,0,0,0,3.28,0
 36-46,0,6.45,0,0.81,0,0,3.22,0,0,0,0,0,0
 48-58,0,6.31,0.57,0,0,0,0.57,1.15,0,0,0,0.57,0
 60-70,0,4.91,0.98,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,1.96,2.94,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,1.06,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0.77,0.77,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
