stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,1,13,0,0,0,0,0,0,0,0,8,0,0,1,0
 24-34,0.82,0,0,0,4.1,0,0,0,0,0,0.82,0,0,2.46,0.82,4.93,0,0.82,0,4.93,1.64,0,0.82,33.66,0,0,0,0,0,0,0,0,5.75,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,2.42,0,2.42,0,0,0,8.06,0.81,0.81,1.61,51.56,0,3.22,0.81,0,0,2.42,0,0,11.28,0,0,1.61,0.81
 48-58,0,0,0,0,1.15,0.57,15.49,0,0.57,0.57,0,0,0,0.57,0,2.87,0,0,0,0.57,0.57,0,0.57,47.05,0,0.57,1.15,0,0,1.15,0,0,12.62,0,0,1.15,1.15
 60-70,0,0,0,0,1.96,0,40.24,0,0,0,3.93,0.98,0,0,0,1.96,0,0,0,1.96,0.98,0,0,65.76,0,1.96,0,0,0,0,0,0,18.65,0,0,0,2.94
 72-82,0,0,0,0,0.98,0,53.01,0.98,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0.98,64.79,0,0.98,0,0,0.98,0,0,0,15.71,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,25.49,0,0,0,1.06,1.06,1.06,0,0,2.12,0,0,0,0,1.06,0,0,23.36,0,1.06,1.06,0,0,2.12,0,0,8.5,2.12,0,1.06,1.06
 96-106,0,0,0,0,0,0,64.48,0,0,0,10.93,0,0,0,0,1.09,0,1.09,0,2.19,0,0,0,41.53,1.09,3.28,0,0,0,3.28,0,1.09,4.37,0,1.09,0,1.09
108-118,0,0,0.77,0,2.3,0,55.92,0,0,0,8.43,0.77,0,0,0,3.06,0.77,0,0.77,1.53,0,0.77,0.77,48.26,0,2.3,0,0,0.77,0.77,0,0,1.53,0.77,0,0,0
120,0,0,0,0,3.92,0,129.35,0,0,0,7.84,0,0,0,0,3.92,0,1.96,0,5.88,0,0,0,72.51,0,0,0,0,3.92,1.96,0,0,5.88,0,0,0,0
