stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,13.14,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,113.03,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,1,0,1,3,0,12,2,8,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,0,2.46,0,0,0,0,0,0,2.46,0,5.75,0,0,2.46,55,0,0,0,0,0,0,0,0,4.1,0,21.34,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0.81,1.61,0,0,0,1.61,0,0,0.81,0,1.61,0,0,0,42.7,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,13.2,0,0,0,5.16,0,0,0,1.15,0,0,2.3,0.57,6.31,0,0,1.15,37.87,0,0,0,0,0,0,0,0,0,0,12.62,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.94,0,0,0.98,3.93,0,0,0.98,0,0,0,6.87,0,0.98,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,2.94,0,19.63,0,0,0,7.85,0.98,0,0,0.98,0,0,80.5,0,13.74,0.98,0,0,56.94,0,0.98,0.98,0,2.94,0,0,0,0,0,0.98,0.98,1.96,4.91,0,0
 84-94,0,0,0,0,5.31,3.19,0,11.68,0,0,0,6.37,1.06,0,4.25,3.19,0,0,383.4,0,10.62,2.12,3.19,3.19,44.61,2.12,1.06,1.06,0,0,8.5,0,0,0,0,5.31,1.06,0,2.12,1.06,2.12
 96-106,0,0,0,0,18.58,8.74,2.19,69.94,2.19,3.28,2.19,17.49,5.46,0,7.65,3.28,1.09,1.09,633.85,2.19,40.44,4.37,3.28,2.19,180.32,1.09,2.19,4.37,0,4.37,22.95,0,0,1.09,0,3.28,1.09,4.37,4.37,7.65,0
108-118,0,0,0,0,19.92,15.32,4.6,58.21,3.06,3.83,7.66,20.68,4.6,0,5.36,2.3,3.83,0,1220.18,1.53,51.32,2.3,2.3,7.66,194.55,0.77,3.83,1.53,0,3.06,24.51,0,0.77,1.53,0,8.43,1.53,2.3,5.36,0.77,3.83
120,0,0,0,0,7.84,1.96,0,35.28,0,3.92,1.96,9.8,1.96,0,1.96,0,3.92,0,580.1,0,17.64,1.96,0,1.96,88.19,0,1.96,0,0,0,9.8,0,0,0,0,3.92,0,1.96,3.92,1.96,0
