stage,blastomeres,eye,glial,gut,heart,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,6.29,0,0,0
 14-21,0,0,0,0,0,1,0,1,6,0,0,2,2,0
 24-34,0,0.82,0.82,0,0,1.64,0,0.82,7.39,0.82,0,0,2.46,0
 36-46,0,0.81,0,0,0,0,0,0,6.45,0,0,0,0,0
 48-58,0,3.44,0.57,0.57,0.57,0,0.57,1.15,5.74,0,0,0,1.15,0
 60-70,0,2.94,0,0,0,0.98,0,0,6.87,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0.98
 84-94,0,2.12,1.06,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0,0,3.06,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
