stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,78.67,12.59,0,0,15.73,0,0,0,15.73,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,5,3,0,0,0,0,80,0,0,0,0,0,0,0,7,0,4,67,2,8,38,6,0,1,2,79,0,231,0,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,6.57,0,0,0.82,77.16,0.82,0,0,0,0.82,0,0,6.57,0,1.64,92.76,2.46,45.15,4.1,0,0.82,0,0.82,24.63,2.46,159.25,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,1.61,0,11.28,0,0,0,50.76,0,0,0,0,0.81,0,0,11.28,0,4.83,104.74,0,55.59,1.61,0,0,0,0,14.5,0,109.57,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,44.76,0,0.57,0,53.36,0,0.57,0,0,2.87,0,0,14.35,0.57,2.87,51.07,0,36.15,4.02,0,1.15,0,0,6.89,0,100.42,0,0,0,0,4.59
 60-70,0,0,0,0,0.98,0,68.71,0,0,0.98,74.6,0,0,0,0,2.94,0,0,5.89,0,0.98,58.89,0,38.28,11.78,0,0.98,0,0,1.96,0,47.11,0,0.98,0.98,0,14.72
 72-82,0,0,2.94,0,3.93,0.98,59.88,0,0,0.98,84.42,0,0.98,0,0.98,6.87,0,0,27.49,2.94,2.94,44.17,0,52.03,25.52,0,4.91,0,0,0.98,0,25.52,0.98,1.96,0.98,0.98,30.43
 84-94,0,0,5.31,1.06,2.12,0,54.16,0,0,1.06,62.66,2.12,0,0,0,6.37,0,1.06,18.05,3.19,0,37.17,0,56.29,24.43,0,11.68,0,0,8.5,0,27.61,1.06,1.06,1.06,2.12,41.42
 96-106,0,0,2.19,0,1.09,2.19,25.14,0,0,2.19,51.36,3.28,0,1.09,0,15.3,1.09,1.09,22.95,2.19,1.09,37.16,0,78.68,29.51,0,8.74,0,0,4.37,0,30.6,0,0,0,1.09,40.44
108-118,0,0,3.83,0.77,2.3,0,23.74,0.77,0,0,47.49,0.77,0,0,0,9.19,0.77,0,22.21,1.53,0.77,38.3,0,65.87,22.98,0,3.06,0,0,4.6,0,16.09,0.77,0,1.53,0.77,43.66
120,0,0,1.96,0,0,1.96,23.52,0,0,0,19.6,0,0,3.92,0,3.92,1.96,0,19.6,0,0,19.6,0,29.4,9.8,0,5.88,0,0,5.88,0,7.84,0,0,1.96,3.92,13.72
