stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,190.02,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,7.89,42.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,9.44,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,414,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,10.67,0,6.57,0,2.46,0,0,1.64,0,0,4.93,0,0,0,1.64,13.13,0,2.46,43.51,0.82,0.82,0,0,1058.9,0,0.82,0,0.82,6.57,0,0,2.46,0,0.82
 36-46,0,0,0,0,12.89,0,3.22,0.81,5.64,0,0.81,2.42,0,0,8.06,0,0,0,0,11.28,0,1.61,31.42,0,2.42,0,0,1029.65,0,0,0,0,7.25,0,0,0,0,0.81
 48-58,0,0,0,0,22.95,1.15,12.05,0,13.2,0,3.44,0.57,0,0,10.9,0,0,0,9.18,9.75,0,0,43.61,0,0,0,0,915.79,0,0.57,0,0,12.05,0,0,0,0,2.3
 60-70,0,0,0,0,54.97,0.98,19.63,0,17.67,0.98,2.94,0,0.98,0,10.8,0,1.96,0,5.89,9.82,0,1.96,32.39,0,0,0,0,1065.93,0,0,0,0,3.93,0.98,0,0.98,0,0
 72-82,0,0,0,0,116.82,1.96,25.52,0,33.38,0,0,7.85,0,0,34.36,0.98,1.96,0,8.83,7.85,0,0,49.08,0.98,1.96,1.96,0,1123.02,0,0.98,0,0,3.93,2.94,0,1.96,1.96,0.98
 84-94,0,0,0,0,229.4,0,11.68,0,70.09,0,2.12,15.93,0,1.06,73.28,0,0,1.06,4.25,24.43,0,0,24.43,0,4.25,1.06,0,2341.79,0,3.19,0,0,1.06,22.3,1.06,0,1.06,0
 96-106,0,0,0,0,374.85,6.56,30.6,1.09,95.08,0,10.93,51.36,0,2.19,125.68,1.09,2.19,2.19,8.74,34.97,0,0,67.76,0,9.84,2.19,0,2928.83,0,1.09,2.19,0,1.09,32.79,0,2.19,1.09,1.09
108-118,0,0,0,0,332.43,0.77,14.55,1.53,109.53,0,3.06,57.45,0,2.3,107.23,0,0,0.77,9.96,45.19,0.77,0.77,32.94,0.77,6.13,0,0,1685.88,0,4.6,0,0,0,29.87,0,0.77,0,0
120,0,0,0,0,276.33,0,3.92,0,78.39,0,3.92,25.48,0,0,70.55,0,1.96,0,1.96,25.48,0,0,25.48,0,11.76,0,0,1079.84,0,1.96,0,0,0,9.8,0,3.92,0,0
