stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,12,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,1,25,0,0,0,3,0,3,1,0,0,2,12,0,0,1,0,0
 24-34,0,0.82,6.57,0.82,9.03,0,0.82,0.82,4.1,0,0,1.64,0,0,0,0,0.82,0,6.57,0,0,4.93,80.44,0.82,1.64,0.82,0.82,0,4.93,0,0,0,0.82,31.19,0,0,3.28,0,0
 36-46,0,0,2.42,0,16.11,0,0,0,4.03,0,0,0,0,0.81,0,0,0,0.81,7.25,0,0,0.81,109.57,0,0.81,0,0,0,7.25,0,0,0,0,30.62,0,0,1.61,0,0
 48-58,0,0,1.15,0.57,32.71,0,1.15,0.57,10.9,0,0,0,0.57,0,0,0,0,0,10.9,0,0,1.15,102.71,0.57,0,0.57,0,0.57,2.3,0,0,0,0,27.54,0,0,2.3,0,0
 60-70,0,0,0.98,0,49.08,0,0,0,10.8,0,0,0,0,0,0,0,0,0,13.74,0,0.98,0,119.75,0,0.98,0,0,0,7.85,0,0.98,0.98,0,11.78,0,0,0.98,0,0
 72-82,0,0,3.93,5.89,47.12,0,0,1.96,10.8,0,0,0,0,0,0,0.98,1.96,0,13.74,0,0,0.98,82.46,0.98,0,1.96,0,0.98,2.94,0,0,0,0,5.89,0.98,0.98,0.98,0,0
 84-94,0,0,1.06,8.5,25.49,0,2.12,0,1.06,0,1.06,0,2.12,0,0,0,0,0,13.81,0,0,1.06,54.16,0,2.12,1.06,0,0,15.93,0,1.06,0,0,5.31,1.06,0,1.06,0,0
 96-106,0,0,2.19,7.65,21.86,1.09,3.28,0,4.37,0,0,0,2.19,1.09,0,0,1.09,0,14.21,0,0,3.28,31.69,0,3.28,1.09,0,0,5.46,0,0,0,0,2.19,0,1.09,0,2.19,1.09
108-118,0,0,7.66,4.6,15.32,0,2.3,0.77,4.6,1.53,0,0,0.77,1.53,1.53,2.3,0,1.53,10.72,0,0,1.53,51.32,0,0,3.06,0,0,4.6,0,0,0.77,0,0,0,0.77,2.3,0,0
120,0,0,1.96,7.84,9.8,0,1.96,1.96,7.84,1.96,0,0,0,0,3.92,0,1.96,0,11.76,3.92,1.96,5.88,58.79,0,0,1.96,0,0,9.8,0,1.96,1.96,0,1.96,0,0,5.88,0,1.96
