stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,12.59,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,1,1,1,9,0,0,0,0,1,0,8,0,12,11,0,0,0,0,0,12,0,371,937,6,0,0,0,0,1
 24-34,0,0,0.82,0.82,8.21,0.82,0,10.67,214.24,0,0.82,2.46,0,0,9.03,0.82,2.46,0,0,0,0.82,16.42,0,54.18,109.99,2.46,0.82,0,0,9.85,0.82,1.64,215.89,513.86,21.34,0,0,5.75,0,0.82
 36-46,0,0,0,0,2.42,0,0,11.28,420.56,0,0,4.03,0.81,0,6.45,0,0,0,0.81,0,0,6.45,1.61,29,68.48,0,0,1.61,0.81,4.03,0,1.61,145.02,32.23,9.67,0,0,1.61,0.81,0.81
 48-58,0.57,0,0,0,0.57,0,0,28.69,311.58,0,0,6.89,0,0.57,2.87,0,0,0,0,0,0,13.2,0,33.28,70,0.57,1.15,0,0,1.15,0,0,76.89,0,18.36,0,0,1.15,0,2.3
 60-70,0,0,0,0,0,0.98,0,18.65,219.86,0,0,6.87,0,0,1.96,0.98,0,0,0,0,0,9.82,0,34.35,35.33,0.98,0,0,0.98,1.96,0,0,63.8,0,3.93,0,0,1.96,0,1.96
 72-82,0,0,0,0,0.98,0.98,0,17.67,143.32,0,0.98,2.94,0,1.96,0.98,0,0,0,0,0,0,6.87,0,27.49,32.39,0.98,0,0,0,1.96,0,0,34.36,0,1.96,0,0,4.91,0.98,0
 84-94,0,0,0,0,2.12,3.19,0,18.05,168.86,0,0,3.19,0,0,3.19,1.06,0,0,0,0,0,11.68,2.12,26.55,28.68,0,0,2.12,0,2.12,0,0,60.54,0,2.12,1.06,1.06,1.06,0,0
 96-106,0,0,1.09,0,2.19,6.56,0,24.04,197.81,0,1.09,5.46,0,0,1.09,0,2.19,0,1.09,4.37,0,15.3,0,30.6,40.44,1.09,0,2.19,0,7.65,0,1.09,39.34,0,1.09,0,1.09,2.19,1.09,2.19
108-118,0,0,0,0,2.3,0.77,0.77,14.55,255.83,2.3,0,3.83,0,0,3.06,1.53,0,0.77,0.77,3.06,0.77,13.02,0.77,46.72,39.06,0,1.53,0,0,6.13,0,0,58.21,0,3.83,0,0.77,1.53,0.77,0.77
120,0,0,0,0,13.72,1.96,0,11.76,213.62,0,0,0,3.92,0,3.92,1.96,0,0,0,0,0,5.88,0,50.95,35.28,0,0,0,0,3.92,1.96,0,31.36,0,0,0,0,3.92,0,0
