stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,5.26,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,0,0,2,5,6,0,0
 24-34,0,0,1.64,0,2.46,0,0,0,0.82,0,2.46,0,0,1.64,0.82,0,0,8.21,0,0,1.64,0,8.21,8.21,5.75,0,0.82
 36-46,0,0,0,0.81,6.45,0,0.81,0.81,0,0,0,0,0,0,0,0,0.81,3.22,0,0,0.81,0,4.83,0.81,0,0,0
 48-58,0,0,1.15,0,8.03,0.57,0.57,0,0.57,0,0.57,0,0,1.15,0,0,0.57,5.74,0,0,3.44,0,2.3,2.3,1.15,0,0
 60-70,0,0,3.93,0,14.72,0.98,0,5.89,0,0,2.94,0,0,3.93,0,0,0,9.82,0,0,4.91,0,3.93,5.89,0,0,1.96
 72-82,0,0,1.96,0,11.78,0.98,0,20.61,0.98,0,1.96,0,0,1.96,0,0,1.96,15.71,0,0.98,14.72,0,1.96,9.82,0.98,0,0
 84-94,0,1.06,1.06,0,15.93,0,0,8.5,1.06,0,1.06,1.06,0,5.31,0,1.06,0,7.43,0,0,29.74,0,2.12,13.81,0,0,0
 96-106,0,0,1.09,1.09,10.93,1.09,0,15.3,1.09,0,1.09,0,1.09,2.19,0,0,0,15.3,0,0,51.36,0,1.09,13.11,0,1.09,0
108-118,0,0.77,3.06,0,10.72,0,0.77,14.55,0,0,1.53,0,0.77,4.6,0,0,0.77,15.32,0,0,28.34,0,0,10.72,0,0.77,0
120,0,0,7.84,0,11.76,0,1.96,15.68,3.92,0,5.88,0,0,5.88,0,0,0,25.48,0,0,27.44,0,1.96,5.88,0,0,0
